Gene	sgRNA	Selected|beta	Selected|z	Selected|p-value	Selected|fdr	Selected|wald-p-value	Selected|wald-fdr
Zfp280b_p1	12	0.007143	0.21139	0.83355	0.99405	0.83258	0.98612
Crxos_p1	12	-0.014143	-0.43848	0.69254	0.97327	0.66104	0.96082
Ubtf_p2	12	-0.046448	-1.2151	0.19496	0.81935	0.22434	0.83663
Zfp748_p2	12	-0.027654	-0.93566	0.43684	0.93209	0.34945	0.89277
Hmgb1_p3	12	-0.066193	-1.6786	0.066447	0.72883	0.093232	0.79235
Zbtb41_p1	12	-0.07213	-2.4684	0.044518	0.7193	0.013572	0.55599
Klf13_p2	12	0.0039024	0.09138	0.90987	0.99405	0.92719	0.99287
Gm14443_p1	10	-0.0043397	-0.10563	0.90154	0.99405	0.91587	0.99287
Zfp12_p2	12	0.037364	1.1754	0.29035	0.90448	0.23982	0.83663
Gbx2_p1	12	0.01045	0.47587	0.75833	0.99011	0.63417	0.95282
Mier2_p2	12	-0.033825	-1.0234	0.3432	0.90448	0.30611	0.86971
Litaf_p2	12	-0.017338	-0.42083	0.62478	0.9596	0.67388	0.96502
Nfrkb_p1	12	0.030883	1.0932	0.37171	0.90448	0.27429	0.83663
Pbrm1_p1	12	-0.0064626	-0.15452	0.85614	0.99405	0.8772	0.98888
Mid2_p1	12	0.038399	1.0598	0.27697	0.90448	0.28923	0.84273
Tcf12_p1	12	-0.00018822	-0.0061823	0.99868	0.99956	0.99507	0.99616
Gata2_p2	12	-0.0093964	-0.2622	0.79408	0.99011	0.79317	0.98253
E2f3_p1	12	0.039949	0.72576	0.26096	0.90448	0.46798	0.943
Pbx2_p1	12	0.0082239	0.24331	0.80724	0.99011	0.80776	0.98355
Mitf_p3	12	-0.056067	-1.4748	0.11798	0.72883	0.14028	0.82536
Aebp2_p2	12	-0.020373	-0.6854	0.55987	0.95941	0.49309	0.94756
Zfp944_p1	5	0.034748	0.53296	0.52346	0.95792	0.59406	0.95021
Patz1_p2	12	-0.012153	-0.30893	0.73399	0.98907	0.75738	0.9762
Zfp184_p2	12	0.098516	2.4233	0.0061404	0.51111	0.015379	0.55599
Smarcc1_p2	12	-0.067728	-1.5699	0.059211	0.72883	0.11643	0.80117
Stat3_p1	12	-0.11297	-2.9231	0.002193	0.325	0.0034659	0.55599
Patz1_p1	12	0.018506	0.51634	0.58947	0.9596	0.60562	0.95021
Cebpg_p1	12	-0.038086	-1.1908	0.29167	0.90448	0.23374	0.83663
Thap1_p2	12	-0.048828	-1.1804	0.17259	0.794	0.23785	0.83663
Hmgb1_p4	12	-0.031226	-1.0183	0.38092	0.90448	0.30852	0.87382
Zfp771_p1	12	-0.020558	-0.62271	0.55461	0.95941	0.53348	0.95021
Lrrfip2_p2	12	0.083301	2.2607	0.021053	0.59474	0.023776	0.55599
Foxp1_p2	12	0.008352	0.27624	0.80461	0.99011	0.78237	0.98007
Zfp930_p1	12	-0.011287	-0.49677	0.75417	0.99011	0.61935	0.95021
Ubtf_p3	12	0.0095905	0.33819	0.775	0.99011	0.73522	0.97317
Srf_p1	12	-0.016958	-0.89029	0.63377	0.96206	0.37331	0.89359
Klf11_p2	12	0.038293	1.0652	0.27807	0.90448	0.28677	0.84273
Zbtb2_p1	12	-0.018837	-0.64852	0.59167	0.9596	0.51665	0.95021
Sox13_p1	12	0.012461	0.39347	0.70965	0.98359	0.69397	0.96502
Etv4_p2	12	-0.04151	-1.0788	0.24715	0.90448	0.28069	0.84273
Rara_p2	12	-0.026316	-0.70179	0.45855	0.93557	0.48281	0.94756
Mta2_p1	12	-0.023866	-0.87062	0.49912	0.95756	0.38396	0.90308
Atf3_p1	12	-0.0069257	-0.25374	0.84605	0.99405	0.7997	0.98253
Nfyb_p1	12	0.046693	1.7947	0.19298	0.8186	0.072696	0.79235
Foxa2_p1	12	0.039089	1.4233	0.27018	0.90448	0.15464	0.82773
Rbak_p1	12	-0.059134	-2.0951	0.097588	0.72883	0.036165	0.66642
Hsf2_p1	12	0.0093383	0.38907	0.78026	0.99011	0.69723	0.96502
Zfp369_p1	12	-0.056262	-1.7063	0.11645	0.72883	0.087948	0.79235
Lrrfip1_p1	12	0.032174	1.0774	0.35395	0.90448	0.28129	0.84273
Kmt2c_p1	12	0.07039	1.9799	0.048246	0.725	0.047713	0.73752
E4f1_p1	12	-0.018175	-0.48673	0.6057	0.9596	0.62645	0.95021
Bcorl1_p2	12	-0.081891	-2.182	0.024781	0.59474	0.029108	0.60085
Csde1_p1	12	-0.021433	-0.58976	0.53882	0.95869	0.55535	0.95021
Carhsp1_p1	12	-0.025049	-1.2497	0.47719	0.94403	0.21142	0.83587
Cdx4_p1	12	0.052414	1.585	0.14452	0.76628	0.11297	0.79864
Tfam_p2	12	-0.043158	-1.1392	0.22982	0.88	0.25461	0.83663
Nr0b1_p1	12	0.035216	1.0635	0.31667	0.90448	0.28757	0.84273
Pitx2_p2	12	-0.10928	-2.521	0.0028509	0.325	0.011703	0.55599
Preb_p2	12	-0.033325	-0.9073	0.35022	0.90448	0.36425	0.89277
Crebzf_p2	12	0.040399	1.4436	0.2568	0.90448	0.14885	0.82773
Maff_p3	12	-0.0062889	-0.1491	0.85899	0.99405	0.88147	0.99126
Zscan25_p1	12	0.01719	0.56887	0.61469	0.9596	0.56945	0.95021
Zfp65_p1	12	0.051992	1.6601	0.14737	0.768	0.096889	0.79235
Zfp263_p2	12	-0.026613	-0.59256	0.45307	0.93557	0.55347	0.95021
Mxi1_p2	12	0.043473	0.97156	0.22478	0.88	0.33127	0.88635
Lyar_p1	12	-0.027822	-0.74439	0.43465	0.93209	0.45664	0.9422
Zfp644_p2	12	0.033045	0.87928	0.34386	0.90448	0.37925	0.90238
Wdhd1_p1	12	-0.010503	-0.34918	0.77171	0.99011	0.72696	0.97004
Atf2_p1	12	-0.040468	-0.87656	0.26096	0.90448	0.38073	0.90238
Six1_p1	12	0.0027525	0.062609	0.93706	0.99405	0.95008	0.99287
Zmat3_p2	12	0.034509	1.1463	0.32588	0.90448	0.25167	0.83663
Platr25_p4	12	0.026899	0.73666	0.43092	0.9316	0.46133	0.94229
Nfkb2_p2	12	-0.012138	-0.38318	0.73421	0.98907	0.70158	0.96502
E2f2_p1	12	-0.0058281	-0.2133	0.87259	0.99405	0.83109	0.98612
Smad2_p1	12	-0.013269	-0.29329	0.70921	0.98359	0.7693	0.9764
Pura_p1	12	0.001673	0.05365	0.96272	0.99405	0.95721	0.99287
Zfp449_p1	12	-0.0014156	-0.060778	0.96886	0.99405	0.95154	0.99287
Hmga1_p1	12	0.01098	0.41729	0.74561	0.99011	0.67647	0.96502
Arid2_p1	12	-0.055995	-1.8822	0.11842	0.72883	0.059815	0.79235
Tead4_p1	12	0.054632	1.7888	0.12741	0.72883	0.073641	0.79235
Hes6_p1	12	-0.0032641	-0.095593	0.92807	0.99405	0.92384	0.99287
Stat3_p2	12	0.042218	1.2508	0.23772	0.89218	0.211	0.83587
Zbtb43_p1	12	0.0027197	0.079708	0.9375	0.99405	0.93647	0.99287
Nanog_p1	12	-0.075872	-2.091	0.035965	0.64314	0.036525	0.66642
Zfp574_p1	12	0.061131	1.6248	0.09057	0.72883	0.10421	0.79235
Id2_p2	12	-0.064562	-2.4968	0.072368	0.72883	0.012532	0.55599
Nr3c1_p2	12	0.062135	2.4324	0.086184	0.72883	0.014999	0.55599
Nkrf_p1	12	0.030493	0.80889	0.37719	0.90448	0.41858	0.91455
Zbtb8a_p1	12	-0.032606	-0.99363	0.36118	0.90448	0.3204	0.88635
Zfp553_p1	12	0.065955	1.669	0.069079	0.72883	0.095124	0.79235
Mier3_p5	12	0.00064123	0.016445	0.98399	0.99405	0.98688	0.99451
Irf1_p1	12	-0.033302	-1.0862	0.35088	0.90448	0.27739	0.84045
Lrrfip1_p2	12	0.037836	1.1714	0.28421	0.90448	0.24144	0.83663
Zfp938_p1	12	0.0073873	0.22789	0.82939	0.99405	0.81973	0.98612
Thap12_p1	12	-0.032911	-0.68834	0.35636	0.90448	0.49124	0.94756
Foxp4_p1	12	0.0010147	0.031796	0.97566	0.99405	0.97463	0.99451
Zbtb33_p1	12	-0.088748	-2.4221	0.016886	0.59474	0.015432	0.55599
Zfp91_p1	12	0.023395	0.82114	0.49452	0.95756	0.41157	0.91455
E2f5_p1	12	-0.0010952	-0.03271	0.97741	0.99405	0.97391	0.99451
Cenpt_p2	12	0.029339	0.82566	0.39518	0.90448	0.409	0.91455
Klf9_p1	12	0.009126	0.2777	0.78706	0.99011	0.78124	0.98007
Hesx1_p2	12	-0.00055877	-0.017453	0.98969	0.99405	0.98608	0.99451
Zfp334_p1	12	0.0077705	0.21667	0.81689	0.99201	0.82846	0.98612
Tsix_p2	12	-0.014256	-0.43335	0.68925	0.97327	0.66476	0.96082
Nr4a1_p2	12	-0.013491	-0.47019	0.70439	0.98226	0.63822	0.95288
Gata1_p1	12	-0.018184	-0.50335	0.60526	0.9596	0.61472	0.95021
Hopx_p1	12	-0.0028318	-0.077509	0.93816	0.99405	0.93822	0.99287
E2f8_p2	12	0.047541	1.0104	0.18487	0.80472	0.31232	0.87728
Map3k15_p1	12	-0.018331	-0.55915	0.60219	0.9596	0.57606	0.95021
Nr3c1_p1	12	-0.097577	-3.1448	0.0076754	0.51111	0.0016619	0.55599
Arid3a_p2	12	0.020898	0.57766	0.54364	0.95869	0.5635	0.95021
Sox4_p1	12	-0.027913	-0.63695	0.43311	0.9316	0.52416	0.95021
Bbx_p2	12	0.018834	0.59968	0.58158	0.9596	0.54872	0.95021
Maz_p1	12	-0.0043869	-0.16938	0.90263	0.99405	0.8655	0.98888
Foxk2_p1	12	-0.0075479	-0.25176	0.83531	0.99405	0.80123	0.98253
Arid4b_p2	12	-0.0081363	-0.27244	0.82259	0.99233	0.78528	0.98007
Baz2b_p2	12	0.04933	1.1939	0.16732	0.7866	0.2325	0.83663
Baz2b_p1	12	0.0034914	0.072614	0.91842	0.99405	0.94211	0.99287
Mbd3_p1	12	0.012081	0.49212	0.72105	0.98907	0.62263	0.95021
Zfp131_p1	12	-0.05473	-1.5344	0.12566	0.72883	0.12494	0.82536
Gabpb2_p1	12	0.022247	0.60441	0.51535	0.95792	0.54557	0.95021
Arid4a_p2	12	-0.003865	-0.10796	0.91316	0.99405	0.91403	0.99287
Hopx_p2	12	-0.028852	-0.67004	0.41645	0.91961	0.50283	0.94949
Id2_p1	12	-0.0085801	-0.22421	0.81162	0.99011	0.8226	0.98612
Sp1_p3	12	0.059055	1.2951	0.10241	0.72883	0.19529	0.83494
Tead2_p1	12	0.021234	0.92155	0.53794	0.95869	0.35677	0.89277
Myc_p1	12	-0.049806	-1.5281	0.16382	0.78229	0.12649	0.82536
Rlf_p1	12	0.0054153	0.17406	0.87215	0.99405	0.86182	0.98888
Zbtb6_p2	12	-0.054876	-1.3293	0.12522	0.72883	0.18376	0.83494
Zfp27_p1	12	0.091394	2.1118	0.011184	0.53684	0.034706	0.66642
Lin28a_p1	12	-0.044564	-1.1645	0.21601	0.86404	0.24422	0.83663
Zfp646_p2	12	-0.017681	-0.50013	0.61667	0.9596	0.61698	0.95021
Zfp871_p2	12	0.051327	1.4259	0.15351	0.77348	0.1539	0.82773
Rbck1_p1	12	-0.034263	-0.77951	0.33728	0.90448	0.43568	0.92552
Nfatc4_p3	12	-0.055599	-1.23	0.12105	0.72883	0.21869	0.83663
Zfp516_p4	12	0.020004	0.60752	0.56096	0.95941	0.54351	0.95021
Gatad1_p1	12	0.034129	1.0961	0.33048	0.90448	0.27303	0.83663
Tet2_p2	12	0.049636	1.6853	0.16447	0.78229	0.091937	0.79235
Smad5_p1	12	-0.055636	-1.8637	0.12018	0.72883	0.06236	0.79235
Relb_p1	12	-0.042152	-0.90947	0.24013	0.89388	0.3631	0.89277
Jund_p1	12	-0.02948	-0.91993	0.40768	0.91675	0.35761	0.89277
Zmat3_p1	12	0.026331	0.86432	0.4443	0.93364	0.38741	0.90382
Tfe3_p2	12	0.054825	1.6742	0.12654	0.72883	0.094097	0.79235
Zfp493_p1	12	-0.026374	-0.53927	0.45789	0.93557	0.5897	0.95021
Grhl3_p1	12	0.0067415	0.21682	0.84167	0.99405	0.82835	0.98612
Gm45871_p1	12	-0.0092121	-0.27068	0.79825	0.99011	0.78664	0.98007
Atf4_p1	12	-0.14602	-3.6261	0	0	0.00028777	0.26245
Trp73_p1	12	0.012005	0.35095	0.72259	0.98907	0.72562	0.97004
Zkscan6_p1	12	-0.014153	-0.51206	0.69145	0.97327	0.60861	0.95021
Gm14403_p1	6	-0.007505	-0.17037	0.88531	0.99405	0.86472	0.98888
Gm35315_p1	12	-0.043466	-1.3352	0.22654	0.88	0.18181	0.83494
Rxra_p1	12	-0.0077829	-0.29409	0.82895	0.99405	0.76869	0.9764
Rara_p1	12	-0.060019	-2.0224	0.09386	0.72883	0.043135	0.69015
Brd4_p1	12	0.016839	0.41123	0.62105	0.9596	0.6809	0.96502
Smarce1_p2	12	-0.039861	-1.2791	0.26732	0.90448	0.20085	0.83587
Pou3f1_p1	12	0.0089766	0.271	0.78947	0.99011	0.78639	0.98007
Epas1_p1	12	0.0019747	0.05997	0.95658	0.99405	0.95218	0.99287
Mier3_p2	12	0.055786	2.3905	0.11974	0.72883	0.016823	0.55599
Zfp36l2_p1	12	0.021517	0.82043	0.53421	0.95869	0.41197	0.91455
Zfp59_p1	12	0.017216	0.51856	0.61404	0.9596	0.60407	0.95021
Zfp760_p1	12	-0.015501	-0.54441	0.66206	0.97327	0.58616	0.95021
Mynn_p2	12	-0.019161	-0.51162	0.58421	0.9596	0.60892	0.95021
Usf2_p2	12	-0.022377	-1.1175	0.52412	0.95792	0.2638	0.83663
Zfp367_p1	12	0.0056132	0.19398	0.86754	0.99405	0.84619	0.98637
Smad2_p2	12	-0.0011737	-0.028547	0.97566	0.99405	0.97723	0.99451
Ripply1_p1	12	-0.020008	-0.43349	0.56776	0.95941	0.66466	0.96082
Mynn_p1	12	-0.044836	-0.99394	0.21425	0.86404	0.32025	0.88635
Gtf3a_p1	12	-0.014042	-0.3619	0.69452	0.97327	0.71742	0.96502
T_p2	12	-0.033307	-1.2194	0.35066	0.90448	0.22269	0.83663
Klf8_p1	12	-0.048919	-1.2108	0.17127	0.79289	0.22599	0.83663
Rcor1_p1	12	0.059311	1.3378	0.1	0.72883	0.18096	0.83494
Etv6_p1	12	0.013966	0.29989	0.6761	0.97327	0.76426	0.9762
Parp12_p1	12	-0.039554	-0.93435	0.27149	0.90448	0.35012	0.89277
Rbpj_p2	12	-0.00029457	-0.0082055	0.99693	0.99912	0.99345	0.99579
Xbp1_p2	12	0.029311	0.80913	0.39561	0.90448	0.41844	0.91455
Gm9785_p1	12	-0.059498	-1.3871	0.095614	0.72883	0.1654	0.83494
Zfp37_p3	12	-0.0099525	-0.31986	0.78246	0.99011	0.74907	0.97454
Jdp2_p1	12	0.010243	0.29999	0.76118	0.99011	0.76419	0.9762
Adnp_p1	12	-0.034011	-0.99821	0.34013	0.90448	0.31818	0.88635
Zfp692_p1	12	-0.063155	-1.7722	0.078947	0.72883	0.076367	0.79235
Tfe3_p1	12	-0.030472	-0.92317	0.39298	0.90448	0.35592	0.89277
Zfp408_p1	12	-0.03544	-1.4021	0.32456	0.90448	0.16089	0.83494
Rxra_p2	12	0.0044327	0.12945	0.89781	0.99405	0.897	0.99128
Bach1_p1	12	0.022748	0.6491	0.50724	0.95776	0.51628	0.95021
Spic_p2	12	0.042826	1.2122	0.23048	0.88	0.22545	0.83663
Jarid2_p3	12	0.051507	1.2965	0.15219	0.77111	0.19482	0.83494
Trp53_p1	12	0.095127	2.2733	0.0089912	0.51111	0.023008	0.55599
Zbtb32_p2	12	-0.066858	-1.6529	0.063596	0.72883	0.09836	0.79235
5430403G16Rik_p1	12	0.0058335	0.1959	0.86228	0.99405	0.84469	0.98637
Zfp386_p1	12	-0.026972	-0.76068	0.44649	0.93557	0.44685	0.93684
Hmgxb3_p1	12	0.0035651	0.14814	0.91711	0.99405	0.88223	0.99126
Zfp7_p1	12	-0.026383	-0.78004	0.45768	0.93557	0.43537	0.92552
Tcfl5_p1	12	-0.03109	-1.1129	0.38421	0.90448	0.26577	0.83663
Nr6a1_p1	12	0.049459	1.6472	0.16579	0.78342	0.099526	0.79235
Csrnp2_p1	12	0.048039	1.2964	0.17917	0.79805	0.19483	0.83494
Zmiz2_p1	12	0.0065624	0.18961	0.84605	0.99405	0.84962	0.98637
Zfp281_p1	12	0.01944	0.37626	0.57149	0.95941	0.70673	0.96502
Stag2_p3	12	-0.025957	-0.62609	0.4636	0.93863	0.53126	0.95021
Nr3c1_p5	12	0.026551	0.73332	0.43947	0.93209	0.46336	0.94229
Gm20939_p1	11	-0.014719	-0.45217	0.6932	0.97327	0.65115	0.95964
Zfp977_p1	10	0.0052867	0.21307	0.89518	0.99405	0.83128	0.98612
Foxp1_p4	12	0.020399	0.50459	0.55285	0.95941	0.61385	0.95021
Nr6a1_p3	12	0.026077	0.49757	0.44781	0.93557	0.61879	0.95021
Zfp719_p1	12	0.057154	1.2574	0.11162	0.72883	0.20862	0.83587
Zfp819_p1	12	0.0097376	0.30588	0.77237	0.99011	0.7597	0.9762
Foxi3_p1	12	0.0020914	0.072837	0.95351	0.99405	0.94194	0.99287
Klf6_p1	12	0.02789	0.71398	0.41404	0.91873	0.47524	0.94756
Tfeb_p4	12	-0.047478	-1.2933	0.18553	0.80472	0.19592	0.83494
Nfatc4_p1	12	0.035988	0.83912	0.30636	0.90448	0.4014	0.91095
Hnrnpk_p1	12	-0.037694	-0.97768	0.29474	0.90448	0.32823	0.88635
Pias1_p2	12	-0.014317	-0.26108	0.68794	0.97327	0.79403	0.98253
Srebf1_p3	12	-0.0098897	-0.30223	0.78377	0.99011	0.76248	0.9762
T_p1	12	0.0030666	0.11262	0.92982	0.99405	0.91033	0.99287
Ftx_p2	12	-0.021727	-0.48668	0.53333	0.95869	0.62649	0.95021
Zfp617_p2	12	-0.012148	-0.38168	0.73421	0.98907	0.7027	0.96502
Tgif2_p2	12	0.0097234	0.23008	0.77281	0.99011	0.81803	0.98612
Zfp747_p1	12	0.0043566	0.15474	0.89934	0.99405	0.87703	0.98888
Ybx3_p1	12	-0.017872	-0.46557	0.61162	0.9596	0.64152	0.95288
Myef2_p1	12	0.039354	0.79697	0.26732	0.90448	0.42547	0.9153
Zfp266_p1	12	0.040543	1.4321	0.25504	0.90448	0.15211	0.82773
Maf1_p1	12	-0.028117	-0.83998	0.42961	0.9316	0.40092	0.91095
Crebrf_p1	12	-0.019438	-0.51675	0.57917	0.9596	0.60533	0.95021
Zbtb45_p1	12	-0.039722	-1.1776	0.26974	0.90448	0.23896	0.83663
Klf10_p2	12	0.0019017	0.056017	0.95768	0.99405	0.95533	0.99287
Brd4_p2	12	0.002274	0.05684	0.94912	0.99405	0.95467	0.99287
Zfp217_p3	12	0.010556	0.25241	0.75548	0.99011	0.80073	0.98253
Zfp472_p1	12	0.079442	2.4217	0.024781	0.59474	0.015447	0.55599
Vezf1_p1	12	0.068227	0.75322	0.057018	0.72883	0.45132	0.93825
Arid1a_p2	12	-0.027512	-0.7114	0.43882	0.93209	0.47684	0.94756
Zfp236_p2	12	0.020747	0.67289	0.54583	0.95915	0.50102	0.94949
Tsc22d1_p1	12	0.029161	0.89226	0.39803	0.90448	0.37225	0.89341
Olig2_p1	12	-0.030877	-0.90466	0.38706	0.90448	0.36564	0.89277
Jun_p1	12	-0.012863	-0.29156	0.7182	0.98793	0.77063	0.9764
Aff1_p1	12	0.053041	1.4274	0.14079	0.75976	0.15346	0.82773
Paxbp1_p1	12	0.035915	1.625	0.30702	0.90448	0.10415	0.79235
Zfp42_p1	12	0.018551	0.48812	0.58772	0.9596	0.62546	0.95021
Zfp874b_p1	12	-0.034137	-0.80357	0.33904	0.90448	0.42164	0.91455
Zfp985_p1	8	-0.0017795	-0.036063	0.9886	0.99405	0.97123	0.99451
Gmeb2_p2	12	0.084539	1.9238	0.019079	0.59474	0.054383	0.77496
Cbfb_p1	12	0.055834	1.7206	0.11952	0.72883	0.085322	0.79235
Zfp971_p1	12	0.031488	1.0728	0.36513	0.90448	0.28338	0.84273
Lcor_p1	12	-0.026112	-0.24574	0.4614	0.93719	0.80588	0.98307
Bclaf1_p1	12	-0.022598	-0.63328	0.51974	0.95792	0.52655	0.95021
Lbr_p1	12	0.063065	1.6519	0.080263	0.72883	0.098551	0.79235
Nr2c2_p1	12	-0.061174	-1.4385	0.087719	0.72883	0.1503	0.82773
E2f3_p2	12	0.010956	0.30779	0.74627	0.99011	0.75824	0.9762
Kansl1_p1	12	-0.062981	-2.0842	0.079167	0.72883	0.037146	0.66642
Zfp62_p1	12	0.0007221	0.018461	0.98202	0.99405	0.98527	0.99451
Zfp219_p2	12	0.049848	1.8197	0.16294	0.78229	0.068804	0.79235
Klf2_p1	12	-0.02118	-0.56881	0.54211	0.95869	0.56949	0.95021
Tcf3_p1	12	-0.031805	-0.98698	0.3739	0.90448	0.32365	0.88635
Rxrb_p2	12	-0.042014	-1.133	0.24189	0.89675	0.25722	0.83663
Zfp512_p1	12	-0.031577	-0.77833	0.37807	0.90448	0.43638	0.92552
Zfp37_p2	12	-0.017356	-0.40834	0.62478	0.9596	0.68302	0.96502
Cenpt_p1	12	-0.018986	-0.54688	0.58794	0.9596	0.58446	0.95021
Zfp267_p1	12	0.015567	0.5988	0.64342	0.96743	0.54931	0.95021
Hmgb1_p2	12	-0.083248	-1.8504	0.023465	0.59474	0.064257	0.79235
Zfp296_p2	12	0.077463	2.2841	0.029386	0.61224	0.022363	0.55599
Creb3_p1	12	0.0022624	0.058012	0.94912	0.99405	0.95374	0.99287
Hbp1_p2	12	-0.0045482	-0.12556	0.89912	0.99405	0.90008	0.99128
Snapc4_p1	12	-0.07424	-2.6535	0.039912	0.68679	0.0079651	0.55599
Rcor2_p3	12	-0.035882	-1.0999	0.31667	0.90448	0.27136	0.83663
Zfp57_p1	12	0.030765	0.75078	0.37368	0.90448	0.45279	0.9385
Maff_p2	12	-0.0085633	-0.31339	0.81184	0.99011	0.75398	0.9762
Arid3a_p1	12	-0.014353	-0.37336	0.68728	0.97327	0.70888	0.96502
Gpbp1l1_p1	12	-0.0088058	-0.43333	0.8057	0.99011	0.66477	0.96082
Nr2c2_p2	12	-0.017405	-0.5213	0.62368	0.9596	0.60216	0.95021
Gm15446_p1	8	-0.052188	-0.98995	0.23684	0.89218	0.3222	0.88635
Id3_p1	12	0.02276	0.73419	0.50702	0.95776	0.46283	0.94229
Cbfb_p2	12	0.01733	0.63566	0.61118	0.9596	0.525	0.95021
Zfp84_p1	12	-0.006966	-0.17707	0.84496	0.99405	0.85945	0.98845
Zbtb41_p2	12	-0.0051301	-0.1316	0.88772	0.99405	0.8953	0.99128
Stat6_p2	12	0.03661	0.65905	0.29825	0.90448	0.50986	0.95021
Hnrnpu_p2	12	-0.074769	-1.7332	0.038596	0.67692	0.083063	0.79235
Sp2_p2	12	0.070433	1.6709	0.048026	0.725	0.094745	0.79235
Zfp37_p1	12	-0.014555	-0.37445	0.68311	0.97327	0.70807	0.96502
Klf16_p1	12	0.033249	1.1895	0.34123	0.90448	0.23423	0.83663
Arid5b_p2	12	-0.015115	-0.33933	0.67061	0.97327	0.73436	0.97317
Gata1_p3	12	0.036318	0.89407	0.30219	0.90448	0.37129	0.89341
Gabpb1_p1	12	-0.038836	-1.16	0.28224	0.90448	0.24605	0.83663
Zfp322a_p1	12	0.034516	1.1903	0.32566	0.90448	0.23393	0.83663
Zfp770_p1	12	0.010653	0.32062	0.75329	0.99011	0.7485	0.97454
Zfp74_p2	12	-0.032067	-1.0487	0.36974	0.90448	0.29432	0.85212
Zfp512b_p1	12	0.02179	0.54316	0.52675	0.95869	0.58702	0.95021
Pou2f1_p1	12	0.0052863	0.19202	0.87522	0.99405	0.84772	0.98637
Zfp184_p1	12	0.063163	2.0291	0.080044	0.72883	0.042449	0.69015
Hnrnpk_p3	12	0.016477	0.44116	0.62763	0.9604	0.65909	0.96021
Pias1_p1	12	-0.042921	-1.5055	0.23158	0.88	0.1322	0.82536
5730507C01Rik_p1	12	0.0080197	0.2784	0.81053	0.99011	0.7807	0.98007
Rlim_p1	12	0.047506	1.2388	0.18487	0.80472	0.21542	0.83663
Mixl1_p1	12	0.027226	0.77192	0.42675	0.9316	0.44016	0.93138
Zfp36l1_p1	12	0.034818	0.96198	0.32149	0.90448	0.33606	0.88853
Zfp622_p1	12	0.029167	0.94267	0.39803	0.90448	0.34585	0.89277
Mier3_p3	12	-0.026611	-0.85178	0.45307	0.93557	0.39434	0.91095
Purb_p1	12	-0.058445	-1.4293	0.10154	0.72883	0.1529	0.82773
Yy1_p1	12	0.030172	0.84459	0.38202	0.90448	0.39834	0.91095
Zfp981_p1	10	-0.019531	-0.5864	0.61425	0.9596	0.5576	0.95021
Pitx2_p3	12	-0.0025952	-0.10216	0.94342	0.99405	0.91863	0.99287
Zfp771_p2	12	0.019391	0.73244	0.57281	0.95941	0.4639	0.94229
Mta3_p1	12	0.011815	0.36035	0.72719	0.98907	0.71859	0.96502
Sall1_p1	12	-0.040697	-0.97344	0.25789	0.90448	0.33033	0.88635
Mta1_p1	12	-0.034444	-1.3528	0.33421	0.90448	0.17612	0.83494
Stat6_p4	12	0.068194	1.5678	0.057018	0.72883	0.11692	0.80117
Zfp687_p1	12	0.061615	1.565	0.088596	0.72883	0.11759	0.80117
Ascl2_p2	12	-0.021832	-0.5786	0.5318	0.95869	0.56286	0.95021
Klf10_p1	12	0.030756	0.72341	0.3739	0.90448	0.46943	0.943
Nfatc4_p4	12	0.0079402	0.28175	0.81184	0.99011	0.77813	0.98007
Six1_p3	12	0.010632	0.37533	0.75417	0.99011	0.70742	0.96502
Thap7_p1	12	-0.030635	-1.0238	0.39057	0.90448	0.30591	0.86971
Arid3b_p1	12	0.0081912	0.22907	0.80789	0.99011	0.81881	0.98612
Tfeb_p3	12	-0.043672	-1.4214	0.225	0.88	0.1552	0.82773
Arid5b_p1	12	0.0021301	0.048529	0.95219	0.99405	0.96129	0.99287
Rarg_p3	12	0.075441	1.6831	0.032895	0.61224	0.092365	0.79235
Mafk_p1	12	0.01678	0.53892	0.62171	0.9596	0.58994	0.95021
Foxo4_p1	12	0.01153	0.32002	0.73289	0.98907	0.74895	0.97454
Zfp459_p1	12	0.068786	2.307	0.055921	0.72883	0.021057	0.55599
Baz2b_p3	12	0.056256	1.1158	0.11711	0.72883	0.2645	0.83663
Gatad1_p2	7	0.0033549	0.087607	0.94539	0.99405	0.93019	0.99287
Elf1_p1	12	-0.060275	-1.6279	0.093421	0.72883	0.10354	0.79235
Ets2_p1	12	-0.0090094	-0.36825	0.80241	0.99011	0.71268	0.96502
Tfeb_p2	12	-0.050154	-1.5003	0.16075	0.78229	0.13353	0.82536
Hmgb3_p1	12	0.046571	1.3069	0.19496	0.81935	0.19125	0.83494
Zfp961_p1	12	-0.0074307	-0.30682	0.83772	0.99405	0.75898	0.9762
Zfp568_p1	12	-0.031704	-1.2842	0.37544	0.90448	0.19907	0.83587
Nr1h2_p2	12	0.063359	1.4341	0.079167	0.72883	0.15154	0.82773
Zfp790_p1	12	0.05589	1.3328	0.11908	0.72883	0.18259	0.83494
Stag2_p1	12	0.095407	1.5967	0.0085526	0.51111	0.11034	0.79235
Mxi1_p1	12	0.013074	0.38776	0.69452	0.97327	0.6982	0.96502
Bcorl1_p1	12	-0.029449	-0.84139	0.40811	0.91675	0.40013	0.91095
Sall4_p2	12	0.0029811	0.07581	0.93158	0.99405	0.93957	0.99287
Six4_p1	12	0.001404	0.049201	0.96952	0.99405	0.96076	0.99287
Foxh1_p1	12	-0.021473	-0.67	0.53772	0.95869	0.50286	0.94949
