Gene	sgRNA	Bottom|beta	Bottom|z	Bottom|p-value	Bottom|fdr	Bottom|wald-p-value	Bottom|wald-fdr	Top|beta	Top|z	Top|p-value	Top|fdr	Top|wald-p-value	Top|wald-fdr
ENSMUST00000130978_Kdm6a	6	0.033853	0.67653	0.39872	0.93353	0.4987	0.98793	0.068882	1.5642	0.06991	0.27437	0.11776	0.33736
ENSMUST00000112400_Adgrg2	6	-0.071343	-1.3836	0.11293	0.7129	0.16647	0.98793	0.10781	2.3755	0.011012	0.13438	0.017523	0.11953
ENSMUST00000184866_Rhox5	6	0.054763	1.5667	0.1726	0.80238	0.11718	0.98793	-0.023233	-0.75514	0.65608	0.79319	0.45017	0.66087
ENSMUST00000006362_Rhox6	6	-0.071784	-1.8563	0.11088	0.7129	0.063415	0.98793	0.010501	0.30855	0.66248	0.79723	0.75766	0.86474
ENSMUST00000155096_Plxnb3	6	-0.0075907	-0.19313	0.89731	0.99386	0.84686	0.98793	-0.030751	-0.88899	0.51857	0.72163	0.37401	0.60304
ENSMUST00000033444_Stk26	6	-0.023898	-0.63836	0.60128	0.9746	0.52324	0.98793	-0.078371	-2.3789	0.097055	0.33447	0.017366	0.11953
ENSMUST00000137286_Dkc1	6	0.03936	0.686	0.32804	0.89664	0.49271	0.98793	0.098821	1.9593	0.018694	0.16522	0.050081	0.22611
ENSMUST00000002081_Srpk3	6	0.044286	1.1762	0.27093	0.85645	0.23953	0.98793	-0.02342	-0.70667	0.65173	0.79319	0.47977	0.68627
ENSMUST00000115150_Rhox10	6	0.13071	1.1144	0.0033291	0.26	0.2651	0.98793	-1.0281	-9.928	0	0	3.1456e-23	2.4567e-20
ENSMUST00000120793_3110067C02Rik	6	0.0023333	0.045695	0.91575	0.99471	0.96355	0.99863	0.040318	0.89732	0.23022	0.49046	0.36955	0.60174
ENSMUST00000132416_Alg13	6	-0.067942	-1.4804	0.13342	0.7554	0.13877	0.98793	-0.049369	-1.2228	0.29065	0.53919	0.22142	0.46115
ENSMUST00000117131_Rpl3-ps2	6	-0.066623	-1.4129	0.14085	0.76276	0.15769	0.98793	0.00084739	0.020436	0.8612	0.9337	0.9837	0.99388
ENSMUST00000010127_Tktl1	6	0.031912	0.63061	0.42433	0.93521	0.52829	0.98793	-0.13694	-3.0743	0.009475	0.12881	0.0021101	0.033632
ENSMUST00000044138_Chst7	6	-0.0099615	-0.22363	0.84533	0.98925	0.82304	0.98793	-0.10243	-2.6126	0.03662	0.2087	0.0089866	0.077171
ENSMUST00000152730_Rhox13	6	0.042964	0.82222	0.28502	0.875	0.41095	0.98793	-0.02488	-0.54095	0.62382	0.78202	0.58854	0.76228
ENSMUST00000118349_Zfp36l1-ps	6	-0.017998	-0.40311	0.69808	0.9746	0.68687	0.98793	-0.10945	-2.7851	0.027913	0.2	0.0053511	0.060568
ENSMUST00000116535_Fam220-ps	6	0.069563	1.6092	0.09475	0.69533	0.10756	0.98793	0.044034	1.1575	0.19385	0.4414	0.24706	0.48118
ENSMUST00000153221_Pfkfb1	6	-0.078979	-1.4039	0.079129	0.65051	0.16036	0.98793	0.034406	0.69573	0.28758	0.53861	0.4866	0.69349
ENSMUST00000115142_Zbtb33	6	0.055809	1.1799	0.16569	0.79268	0.23806	0.98793	-0.11446	-2.7489	0.021511	0.17143	0.0059799	0.063112
ENSMUST00000033541_Fundc2	6	-0.010467	-0.27882	0.83508	0.98925	0.78039	0.98793	-0.037629	-1.1389	0.42074	0.64558	0.25474	0.49004
ENSMUST00000197237_Tex13c2	6	-0.0053493	-0.18929	0.94059	0.99556	0.84986	0.98793	-0.058969	-2.3707	0.20743	0.45763	0.017754	0.11953
ENSMUST00000002090_Ssr4	6	0.0059506	0.099262	0.84763	0.98925	0.92093	0.99757	-0.096219	-1.8233	0.047631	0.23086	0.068251	0.27058
ENSMUST00000005839_Sh2d1a	6	0.018436	0.33883	0.62484	0.9746	0.73474	0.98793	-0.026502	-0.55342	0.59667	0.76737	0.57998	0.75503
ENSMUST00000155206_Trpc5os	6	-0.052345	-0.82763	0.24712	0.85556	0.40788	0.98793	0.02345	0.42215	0.43867	0.66524	0.67291	0.81988
ENSMUST00000210331_Gm45800	6	0.037218	0.93747	0.35391	0.9016	0.34852	0.98793	-0.054724	-1.5661	0.24353	0.49661	0.11734	0.33736
ENSMUST00000033372_Rp2	6	-0.048816	-0.81677	0.27682	0.8648	0.41406	0.98793	-0.071002	-1.3501	0.13367	0.38036	0.17698	0.41507
ENSMUST00000148522_Gm14817	6	0.049509	1.0254	0.22049	0.85556	0.30519	0.98793	-0.016224	-0.38173	0.79565	0.88519	0.70266	0.83401
ENSMUST00000112377_Phka2	6	0.016404	0.42127	0.65992	0.9746	0.67356	0.98793	-0.026618	-0.7767	0.59462	0.76667	0.43734	0.65037
ENSMUST00000121768_Tpt1-ps6	6	-0.019111	-0.58393	0.6822	0.9746	0.55927	0.98793	-0.02374	-0.82427	0.64328	0.79243	0.40978	0.63627
ENSMUST00000069731_Fmr1nb	6	-0.046031	-1.1401	0.30294	0.875	0.25423	0.98793	0.016113	0.45348	0.55365	0.7468	0.6502	0.8035
ENSMUST00000163399_8030474K03Rik	6	0.010551	0.25892	0.76466	0.97692	0.7957	0.98793	-0.046109	-1.2855	0.32036	0.56473	0.1986	0.43569
ENSMUST00000129185_Nhsl2	6	0.014155	0.27799	0.70141	0.9746	0.78102	0.98793	-0.077687	-1.7335	0.099872	0.33447	0.083008	0.29145
ENSMUST00000033544_Brcc3	6	-0.079607	-1.6914	0.077081	0.65051	0.090759	0.98793	0.027413	0.66183	0.37721	0.61201	0.50808	0.71113
ENSMUST00000136093_Jade3	6	-0.049273	-0.92222	0.27196	0.85645	0.35642	0.98793	-0.0092565	-0.19686	0.93214	0.95916	0.84393	0.90537
ENSMUST00000112831_Htr2c	6	-0.04423	-0.99278	0.32753	0.89664	0.32082	0.98793	-0.1565	-3.9902	0.0040973	0.069565	6.6008e-05	0.002148
ENSMUST00000033532_Aff2	6	-0.024496	-0.44874	0.58873	0.9746	0.65362	0.98793	-0.077217	-1.6072	0.10192	0.33586	0.108	0.32443
ENSMUST00000122019_Gm14538	6	-0.037939	-0.87286	0.40128	0.93353	0.38274	0.98793	-0.037334	-0.97595	0.4251	0.64717	0.32909	0.55752
ENSMUST00000133616_Rbm3os	6	-0.0011249	-0.032185	0.98412	0.99641	0.97432	0.99863	0.027141	0.88242	0.38131	0.61317	0.37755	0.60495
ENSMUST00000113627_Pin4	6	-0.082411	-1.5912	0.06863	0.65051	0.11156	0.98793	-0.030213	-0.66293	0.52855	0.72548	0.50737	0.71113
ENSMUST00000033765_Avpr2	6	-0.079582	-1.3469	0.077081	0.65051	0.178	0.98793	0.098786	1.9032	0.018694	0.16522	0.057011	0.24465
ENSMUST00000144761_Gm14858	6	0.057921	1.457	0.15365	0.78734	0.14512	0.98793	-0.091025	-2.6006	0.057106	0.2578	0.009307	0.077171
ENSMUST00000023832_Rgn	6	-0.044581	-0.97595	0.32164	0.89664	0.32909	0.98793	-0.023471	-0.58393	0.65096	0.79319	0.55927	0.74886
ENSMUST00000118725_Gm15385	6	-0.042673	-0.54239	0.34673	0.9016	0.58755	0.98793	-0.00092241	-0.013321	0.89757	0.94435	0.98937	0.99703
ENSMUST00000075654_1700020N15Rik	6	-0.00070463	-0.015276	0.97542	0.99556	0.98781	0.99863	0.015815	0.38962	0.5598	0.7506	0.69682	0.83081
ENSMUST00000114070_Vbp1	6	-0.038719	-0.92499	0.39078	0.93232	0.35497	0.98793	-0.037855	-1.0276	0.41767	0.64339	0.30415	0.53045
ENSMUST00000150123_Zc3h12b	6	0.022567	0.47034	0.56312	0.97457	0.63811	0.98793	-0.088836	-2.1033	0.064789	0.27282	0.035444	0.19259
ENSMUST00000152648_Gm15063	6	0.072549	0.47301	0.080922	0.65051	0.63621	0.98793	0.075479	0.55947	0.051729	0.24337	0.57584	0.75503
ENSMUST00000033650_Rs1	6	-0.033457	-0.67869	0.4612	0.94308	0.49733	0.98793	-0.048715	-1.123	0.29654	0.5446	0.26144	0.49319
ENSMUST00000115374_Rbm10	6	-0.054533	-1.4152	0.2315	0.85556	0.157	0.98793	0.033483	0.98726	0.30166	0.54918	0.32352	0.55409
ENSMUST00000053981_1110012L19Rik	6	0.011314	0.2459	0.75109	0.97692	0.80576	0.98793	0.0407	1.0052	0.22586	0.48595	0.31481	0.54156
ENSMUST00000103007_Nudt11	6	0.047035	1.2275	0.24328	0.85556	0.21964	0.98793	0.046314	1.3733	0.17542	0.41768	0.16967	0.40635
ENSMUST00000026296_Fgd1	6	-0.034427	-0.98403	0.44814	0.94308	0.3251	0.98793	0.032574	1.0581	0.31165	0.55571	0.29001	0.51829
ENSMUST00000103005_Shroom4	6	0.039848	1.0866	0.32113	0.89664	0.27723	0.98793	0.034248	1.0612	0.28937	0.53919	0.2886	0.51697
ENSMUST00000077375_Scml2	6	0.02141	0.4825	0.57772	0.97457	0.62945	0.98793	0.057378	1.4693	0.11063	0.3464	0.14174	0.37526
ENSMUST00000207800_Gm15262	6	-0.033285	-0.86571	0.46248	0.94308	0.38665	0.98793	0.017898	0.52908	0.52369	0.72261	0.59675	0.76654
ENSMUST00000096424_Emd	6	-0.03637	-1.0516	0.42023	0.93504	0.29298	0.98793	0.011623	0.38182	0.64328	0.79243	0.70259	0.83401
ENSMUST00000151778_Gm15138	6	-0.026066	-0.66118	0.56389	0.97457	0.50849	0.98793	0.048308	1.3926	0.16082	0.40757	0.16373	0.4037
ENSMUST00000146584_Rpl10	6	-0.0055284	-0.15301	0.93726	0.99556	0.87839	0.99254	0.060014	1.8881	0.10064	0.33447	0.059009	0.24778
ENSMUST00000184730_Wnk3	6	-0.067897	-1.39	0.13367	0.7554	0.16454	0.98793	0.008172	0.1903	0.70781	0.83379	0.84907	0.90839
ENSMUST00000118642_Gm7331	6	-0.00020907	-0.0049274	0.96466	0.99556	0.99607	0.99863	-0.032828	-0.87924	0.48886	0.70165	0.37927	0.60575
ENSMUST00000073364_Fam120c	6	-0.011122	-0.19061	0.821	0.98925	0.84883	0.98793	-0.088101	-1.7155	0.067606	0.27282	0.086254	0.29681
ENSMUST00000082088_Mamld1	6	-0.021206	-0.41942	0.64738	0.9746	0.67491	0.98793	0.086105	1.9367	0.033547	0.20451	0.05278	0.23289
ENSMUST00000033720_Rbbp7	6	-0.057103	-1.4311	0.20666	0.85556	0.15241	0.98793	0.044445	1.2657	0.19052	0.43743	0.20562	0.44408
ENSMUST00000131116_Taz	6	0.018822	0.44369	0.61972	0.9746	0.65727	0.98793	-0.0093565	-0.25067	0.93086	0.9591	0.80207	0.88442
ENSMUST00000145302_Dgkk	6	-0.043988	-1.0798	0.32958	0.89664	0.28023	0.98793	-0.029697	-0.82835	0.53854	0.73403	0.40747	0.63584
ENSMUST00000114617_Mtm1	6	0.038531	0.79947	0.33752	0.89664	0.42402	0.98793	-0.017054	-0.40205	0.77977	0.87719	0.68764	0.82623
ENSMUST00000117399_Msn	6	0.067188	2.2595	0.10423	0.7129	0.023855	0.76266	-0.0062892	-0.24028	0.99027	0.99332	0.81011	0.88613
ENSMUST00000112666_Phf8	6	0.038887	0.96532	0.33265	0.89664	0.33438	0.98793	-0.10116	-2.8527	0.039181	0.21477	0.0043346	0.053102
ENSMUST00000079322_Heph	6	-0.014212	-0.3658	0.76492	0.97692	0.71451	0.98793	0.028572	0.83569	0.36056	0.60472	0.40333	0.63126
ENSMUST00000130694_Uba1	6	-0.062419	-1.322	0.16953	0.79759	0.18616	0.98793	-0.11646	-2.8025	0.020743	0.16875	0.0050701	0.059101
ENSMUST00000114601_Mtmr1	6	0.0028016	0.064459	0.90679	0.99386	0.9486	0.99863	-0.099551	-2.6022	0.041741	0.21589	0.0092624	0.077171
ENSMUST00000128858_Gm14379	6	0.0031326	0.032788	0.89782	0.99386	0.97384	0.99863	0.061901	0.73747	0.093982	0.33447	0.46084	0.67208
ENSMUST00000133051_Huwe1	6	-0.041495	-0.70564	0.35877	0.9016	0.48041	0.98793	-0.15619	-3.0171	0.0040973	0.069565	0.0025524	0.037426
ENSMUST00000033689_Cdx4	6	-0.24778	-2.8112	0.00025608	0.2	0.004935	0.76266	0.35816	4.6199	0	0	3.8388e-06	0.00019987
ENSMUST00000116547_Chic1	6	0.016641	0.31509	0.65634	0.9746	0.75269	0.98793	-0.01006	-0.21647	0.91933	0.95352	0.82862	0.89882
ENSMUST00000211291_Tsix	6	-0.013292	-0.3442	0.78028	0.97692	0.73069	0.98793	-0.014849	-0.43697	0.82356	0.90592	0.66213	0.81437
ENSMUST00000033691_Tsx	6	0.033382	0.87707	0.40563	0.93353	0.38045	0.98793	-0.010222	-0.30514	0.91549	0.9508	0.76026	0.86474
ENSMUST00000052837_Ar	6	-0.00039595	-0.0082331	0.97004	0.99556	0.99343	0.99863	-0.075915	-1.7934	0.10935	0.34575	0.072903	0.27911
ENSMUST00000121980_Rps12-ps1	6	-0.1551	-3.2889	0.0023047	0.25	0.0010058	0.76266	0.085594	2.0703	0.034315	0.20451	0.038426	0.19487
ENSMUST00000181020_Jpx	6	-0.061129	-0.71566	0.17695	0.80565	0.4742	0.98793	0.37892	5.0448	0	0	4.541e-07	3.9406e-05
ENSMUST00000115740_Foxp3	6	-0.031609	-0.88892	0.48399	0.95427	0.37405	0.98793	0.033956	1.085	0.29501	0.5446	0.2779	0.5083
ENSMUST00000144719_Ppp1r3fos	6	0.059074	1.6243	0.1452	0.76622	0.1043	0.98793	0.0016026	0.050065	0.84251	0.92426	0.96007	0.98143
ENSMUST00000140479_Yipf6	6	-0.0042069	-0.13455	0.95954	0.99556	0.89297	0.99254	-0.063198	-2.2964	0.17772	0.42061	0.021651	0.13748
ENSMUST00000087867_Uprt	6	0.024397	0.25779	0.53675	0.9702	0.79657	0.98793	-0.060047	-0.72069	0.2023	0.45387	0.4711	0.67759
ENSMUST00000122247_Gm14822	6	-0.067681	-1.1853	0.13444	0.7554	0.23588	0.98793	0.056173	1.1209	0.11677	0.35038	0.26231	0.49321
ENSMUST00000122012_Gm6285	6	-0.046182	-0.80773	0.30269	0.875	0.41925	0.98793	0.063307	1.2588	0.089373	0.3277	0.20811	0.44408
ENSMUST00000036606_Stard8	6	0.048079	0.92278	0.23534	0.85556	0.35612	0.98793	-0.14164	-3.0874	0.0076825	0.11321	0.0020193	0.033555
ENSMUST00000117933_Gm15191	6	-0.080358	-1.2423	0.075032	0.65051	0.21414	0.98793	-0.011697	-0.20551	0.88656	0.94432	0.83717	0.90266
ENSMUST00000033512_Slc38a5	6	-0.12804	-2.1441	0.0066581	0.3	0.032022	0.76266	0.022757	0.43317	0.44738	0.67452	0.66489	0.81455
ENSMUST00000151200_Hsd17b10	6	0.013774	0.30626	0.70627	0.9746	0.75941	0.98793	-0.04061	-1.0259	0.38335	0.61478	0.30496	0.53045
ENSMUST00000033577_Pbdc1	6	-0.075915	-1.4351	0.091165	0.69533	0.15126	0.98793	0.013858	0.29772	0.60154	0.76737	0.76592	0.86474
ENSMUST00000052839_Efnb1	6	-0.0069825	-0.1817	0.90858	0.99386	0.85582	0.98793	-0.026135	-0.77272	0.60128	0.76737	0.43969	0.65037
ENSMUST00000033578_Magee1	6	0.08187	1.9957	0.049936	0.64848	0.045967	0.83489	-0.00030267	-0.008382	0.88451	0.94372	0.99331	0.99716
ENSMUST00000120712_Gm6292	6	-0.020416	-0.48302	0.6589	0.9746	0.62908	0.98793	-0.062348	-1.6759	0.18412	0.43054	0.09376	0.31028
ENSMUST00000096363_Tmem28	6	-0.066817	-1.4451	0.13956	0.76276	0.14844	0.98793	0.09263	2.2768	0.027401	0.2	0.022801	0.14246
ENSMUST00000124681_Smc1a	6	-0.067021	-1.4502	0.13803	0.76276	0.147	0.98793	0.047981	1.1808	0.16338	0.40757	0.23768	0.47115
ENSMUST00000119381_Gm14828	6	-0.052651	-1.2301	0.2443	0.85556	0.21866	0.98793	-0.027349	-0.72611	0.58233	0.76376	0.46777	0.67535
ENSMUST00000121499_Gm14829	6	-0.025661	-0.69564	0.57183	0.97457	0.48666	0.98793	0.016268	0.50119	0.55262	0.7468	0.61624	0.77895
ENSMUST00000113779_Eda	6	-0.041575	-0.79983	0.35775	0.9016	0.42381	0.98793	-0.016232	-0.35485	0.79539	0.88519	0.7227	0.84385
ENSMUST00000121289_Gm14832	6	-0.041317	-1.0101	0.36082	0.9016	0.31243	0.98793	0.013574	0.3772	0.60819	0.77236	0.70603	0.83673
ENSMUST00000112605_Iqsec2	6	-0.0038327	-0.11681	0.9662	0.99556	0.90701	0.99369	0.030395	1.0527	0.33752	0.57807	0.29249	0.52153
ENSMUST00000122944_Cdk16	6	0.017088	0.38411	0.64789	0.9746	0.7009	0.98793	-0.055982	-1.4298	0.23201	0.49239	0.15277	0.38717
ENSMUST00000060241_Otud6a	6	-0.080684	-2.065	0.073496	0.65051	0.038927	0.76266	-0.046089	-1.3405	0.32036	0.56473	0.18007	0.41856
ENSMUST00000033570_Igbp1	6	0.014278	0.351	0.69808	0.9746	0.72559	0.98793	-0.051518	-1.4389	0.27119	0.52687	0.15018	0.38717
ENSMUST00000033383_Usp11	6	-0.0065424	-0.21323	0.91985	0.99556	0.83115	0.98793	-0.0068769	-0.25468	0.97567	0.98323	0.79897	0.88442
ENSMUST00000140551_Dgat2l6	6	-0.0081741	-0.19641	0.88476	0.99386	0.84429	0.98793	0.015606	0.42614	0.56466	0.75169	0.67001	0.81762
ENSMUST00000033582_Cox7b	6	-0.0089936	-0.27708	0.86812	0.99299	0.78172	0.98793	0.014099	0.49356	0.59488	0.76667	0.62161	0.7843
ENSMUST00000115561_Gm5751	6	0.046502	1.1897	0.24866	0.85556	0.23417	0.98793	0.0049007	0.14246	0.77388	0.8763	0.88672	0.93839
ENSMUST00000064196_B630019K06Rik	6	-0.028475	-0.60683	0.52471	0.9702	0.54396	0.98793	-0.048101	-1.165	0.30064	0.5486	0.24403	0.47879
ENSMUST00000055941_Atp7a	6	-0.034527	-0.75751	0.44609	0.94308	0.44875	0.98793	-0.063627	-1.5861	0.17414	0.4159	0.11271	0.33308
ENSMUST00000081593_Pgk1	6	-0.047226	-0.85679	0.29245	0.875	0.39156	0.98793	0.11282	2.3262	0.009475	0.12881	0.020008	0.13022
ENSMUST00000112584_Kdm5c	6	0.021403	0.62333	0.57772	0.97457	0.53307	0.98793	-0.10689	-3.5365	0.03073	0.20339	0.00040554	0.010217
ENSMUST00000048962_Kif4	6	-0.024014	-0.40577	0.59923	0.9746	0.68491	0.98793	-0.077535	-1.4887	0.10064	0.33447	0.13657	0.37034
ENSMUST00000072699_Hmgb3	6	-0.0068907	-0.13238	0.91063	0.99386	0.89468	0.99254	0.10593	2.313	0.012292	0.14545	0.020722	0.13375
ENSMUST00000070449_Gpr50	6	-0.069632	-1.0205	0.12215	0.74531	0.30751	0.98793	0.082241	1.3711	0.040461	0.21477	0.17035	0.40635
ENSMUST00000114576_Vma21	6	0.017502	0.38135	0.6402	0.9746	0.70294	0.98793	-0.090597	-2.2426	0.058131	0.26057	0.024926	0.148
ENSMUST00000154780_Gm1141	6	-0.11076	-0.84612	0.013572	0.39259	0.39748	0.98793	0.025957	0.22593	0.39923	0.62817	0.82125	0.89331
ENSMUST00000126362_Prrg3	5	-0.020812	-0.40276	0.67708	0.9746	0.68713	0.98793	-0.10101	-2.2209	0.055314	0.25412	0.026361	0.15138
ENSMUST00000148651_3010001F23Rik	6	-0.018403	-0.31791	0.69168	0.9746	0.75056	0.98793	0.10473	2.056	0.013316	0.15294	0.039783	0.19821
ENSMUST00000151819_Gpr143	6	0.027037	0.66394	0.5009	0.96314	0.50673	0.98793	0.060782	1.6962	0.097567	0.33447	0.089846	0.30509
ENSMUST00000009530_Timp1	6	0.010198	0.29497	0.77029	0.97692	0.76802	0.98793	-0.074408	-2.4451	0.11677	0.35038	0.01448	0.10669
ENSMUST00000095755_Usp51	6	0.016684	0.37701	0.65506	0.9746	0.70616	0.98793	0.081751	2.0991	0.040973	0.21477	0.035806	0.19286
ENSMUST00000122268_Fthl17-ps2	6	-0.055189	-1.1764	0.22407	0.85556	0.23942	0.98793	-0.078052	-1.8905	0.098592	0.33447	0.058692	0.24778
ENSMUST00000136451_Araf	6	-0.043212	-0.84593	0.34033	0.89664	0.39759	0.98793	-0.048416	-1.0769	0.29834	0.54567	0.28154	0.51375
ENSMUST00000059967_4930402K13Rik	6	-0.060396	-1.483	0.18131	0.80565	0.13807	0.98793	-0.03812	-1.0636	0.41306	0.63881	0.2875	0.51697
ENSMUST00000142927_Ctps2	6	-0.025273	-0.59571	0.57746	0.97457	0.55137	0.98793	0.097417	2.6091	0.019974	0.16596	0.0090783	0.077171
ENSMUST00000069763_Lancl3	6	-0.020767	-0.44448	0.65352	0.9746	0.6567	0.98793	-0.01985	-0.48271	0.72087	0.84408	0.6293	0.7889
ENSMUST00000156336_Gdpd2	6	0.011277	0.33196	0.7516	0.97692	0.73992	0.98793	-0.034436	-1.1517	0.4653	0.68864	0.24943	0.48325
ENSMUST00000015486_Xk	6	0.015922	0.54424	0.66889	0.9746	0.58628	0.98793	0.021964	0.85301	0.46248	0.68838	0.39365	0.6186
ENSMUST00000127673_9530051G07Rik	6	-0.013392	-0.39623	0.77951	0.97692	0.69194	0.98793	0.038848	1.3059	0.24149	0.49632	0.19157	0.42776
ENSMUST00000096265_Foxr2	6	0.0071413	0.18099	0.82638	0.98925	0.85637	0.98793	-0.11401	-3.2825	0.021767	0.17172	0.001029	0.02065
ENSMUST00000039720_Rragb	6	-0.02091	-0.6762	0.65173	0.9746	0.49891	0.98793	0.056202	2.0651	0.11677	0.35038	0.038915	0.19608
ENSMUST00000048675_Magea4	6	-0.0068568	-0.20606	0.91242	0.99386	0.83674	0.98793	-0.02664	-0.90964	0.59462	0.76667	0.36301	0.59437
ENSMUST00000087984_Dlg3	6	-0.029254	-0.69384	0.51344	0.9702	0.48778	0.98793	-0.088321	-2.38	0.066325	0.27282	0.017314	0.11953
ENSMUST00000060576_Lpar4	6	-0.13097	-1.7667	0.0053777	0.3	0.077285	0.98793	0.16972	2.6028	0.0010243	0.023529	0.0092461	0.077171
ENSMUST00000053375_P2ry10	6	0.01584	0.47305	0.66991	0.9746	0.63618	0.98793	0.012741	0.43246	0.62279	0.78199	0.6654	0.81455
ENSMUST00000143880_Klf8	5	-0.0042015	-0.065085	0.96031	0.99556	0.94811	0.99863	-0.15905	-2.7974	0.0043534	0.07234	0.0051511	0.059162
ENSMUST00000060714_Ubqln2	6	-0.088427	-1.2857	0.051216	0.64848	0.19854	0.98793	0.082609	1.365	0.039437	0.21477	0.17226	0.40853
ENSMUST00000112573_Cypt3	6	-0.0058594	-0.11272	0.93086	0.99556	0.91025	0.99369	0.044329	0.96917	0.19129	0.43743	0.33246	0.55939
ENSMUST00000069041_Ap1s2	6	-0.084393	-1.2018	0.06146	0.65051	0.22945	0.98793	0.1116	1.8065	0.0097311	0.12881	0.070839	0.27406
ENSMUST00000149514_2210013O21Rik	6	0.021325	0.41113	0.57823	0.97457	0.68098	0.98793	-0.054798	-1.1999	0.24277	0.49661	0.23017	0.47058
ENSMUST00000155090_Cacna1f	6	-0.024158	-0.36869	0.59539	0.9746	0.71236	0.98793	0.11968	2.079	0.006402	0.1	0.037614	0.19327
ENSMUST00000148708_Spin2c	6	-0.0012876	-0.042074	0.98745	0.99641	0.96644	0.99863	-0.065432	-2.429	0.16517	0.40757	0.01514	0.10948
ENSMUST00000121852_Gm15157	6	-0.024346	-0.50328	0.59232	0.9746	0.61477	0.98793	0.020813	0.48908	0.47862	0.69852	0.62478	0.78576
ENSMUST00000123462_A230072C01Rik	6	-0.087948	-2.0534	0.052497	0.64848	0.040037	0.76266	-0.044972	-1.1942	0.33265	0.57605	0.23242	0.47115
ENSMUST00000151166_2810403D21Rik	6	-0.10462	-1.4173	0.018438	0.42286	0.15641	0.98793	0.097655	1.5087	0.019718	0.16559	0.13139	0.36259
ENSMUST00000033715_Nsdhl	6	0.015738	0.38684	0.67145	0.9746	0.69888	0.98793	-0.085246	-2.3803	0.074776	0.28911	0.0173	0.11953
ENSMUST00000033749_Pir	6	0.014858	0.2982	0.68604	0.9746	0.76555	0.98793	0.075859	1.7302	0.051216	0.24242	0.08359	0.29145
ENSMUST00000114546_Zfp185	6	-0.060914	-1.25	0.17849	0.80565	0.21132	0.98793	0.05718	1.3345	0.11216	0.349	0.18203	0.42186
ENSMUST00000120648_5730416F02Rik	4	0.027066	0.43543	0.54033	0.9702	0.66325	0.98793	-0.025896	-0.47337	0.66069	0.7963	0.63595	0.79212
ENSMUST00000026324_Acot9	6	-0.025489	-0.65447	0.57439	0.97457	0.51281	0.98793	-0.055526	-1.62	0.23585	0.4928	0.10524	0.32231
ENSMUST00000155849_Piga	6	-0.062152	-1.1009	0.17055	0.7976	0.27095	0.98793	0.077522	1.5607	0.047887	0.23086	0.11859	0.33736
ENSMUST00000208582_Gm6858	6	-0.052835	-1.1644	0.24328	0.85556	0.24424	0.98793	0.0051948	0.13013	0.76876	0.8763	0.89646	0.93978
ENSMUST00000060418_Pnma3	6	0.015928	0.43028	0.66863	0.9746	0.66699	0.98793	-0.045473	-1.3956	0.32625	0.56748	0.16283	0.4037
ENSMUST00000033755_Asb11	6	-0.032667	-0.81052	0.47042	0.94962	0.41764	0.98793	-0.048602	-1.3701	0.29706	0.5446	0.17066	0.40635
ENSMUST00000133614_Sh3bgrl	6	-0.089035	-2.0574	0.048143	0.64828	0.03965	0.76266	0.085356	2.2412	0.034315	0.20451	0.025013	0.148
ENSMUST00000150558_Foxo4	6	0.00016273	0.005041	0.95723	0.99556	0.99598	0.99863	0.0178	0.62658	0.52599	0.72451	0.53094	0.72768
ENSMUST00000078229_Pou3f4	6	-0.0046105	-0.11664	0.95211	0.99556	0.90715	0.99369	-0.0036335	-0.10445	0.95442	0.97438	0.91681	0.9509
ENSMUST00000067529_Sytl5	6	-0.014613	-0.2935	0.75775	0.97692	0.76914	0.98793	0.012874	0.29388	0.62023	0.78068	0.76885	0.86642
ENSMUST00000057150_Fancb	6	0.0074245	0.11311	0.82023	0.98925	0.90995	0.99369	-0.006092	-0.10549	0.9959	0.99718	0.91599	0.9509
ENSMUST00000142237_Xlr4b	6	-0.034513	-0.73366	0.44635	0.94308	0.46316	0.98793	0.010209	0.24668	0.66889	0.80184	0.80515	0.88442
ENSMUST00000137641_Xlr3b	6	-0.079426	-1.4409	0.077593	0.65051	0.14961	0.98793	0.012223	0.25224	0.6315	0.78567	0.80085	0.88442
ENSMUST00000105111_F8a	6	-0.013821	-0.38722	0.77209	0.97692	0.69859	0.98793	-0.044671	-1.4221	0.33649	0.57807	0.155	0.38799
ENSMUST00000118081_Gm6335	6	-0.10302	-1.7929	0.021511	0.46316	0.072984	0.98793	0.020343	0.40258	0.48476	0.69852	0.68726	0.82623
ENSMUST00000130247_Tex16	6	0.0062759	0.18319	0.842	0.98925	0.85465	0.98793	-0.01729	-0.5734	0.77439	0.8763	0.56638	0.75485
ENSMUST00000207962_Gm45194	6	-0.0099672	-0.15233	0.84533	0.98925	0.87893	0.99254	0.09451	1.6431	0.024584	0.18462	0.10035	0.31503
ENSMUST00000118111_Nlgn3	6	-0.067886	-1.0375	0.13367	0.7554	0.29953	0.98793	0.051272	0.89045	0.14161	0.39021	0.37322	0.60304
ENSMUST00000156131_Med12	6	-0.031328	-0.96748	0.48886	0.955	0.3333	0.98793	0.050246	1.7633	0.14571	0.39044	0.077843	0.28444
ENSMUST00000154378_Apool	6	-0.085895	-1.3052	0.057875	0.65051	0.19181	0.98793	0.091575	1.5829	0.027657	0.2	0.11344	0.33308
