Gene	sgRNA	Low|beta	Low|z	Low|p-value	Low|fdr	Low|wald-p-value	Low|wald-fdr
Stat3_p1	12	-0.23157	-1.7855	0.0002193	0.0086957	0.074185	1
Patz1_p1	12	-0.050343	-0.78598	0.35285	0.85247	0.43188	1
Cebpg_p1	12	0.1112	1.4974	0.012281	0.2383	0.13428	1
Thap1_p2	12	-0.0079624	-0.099491	0.98224	0.99208	0.92075	1
Hmgb1_p4	12	0.023247	0.27444	0.49934	0.8938	0.78374	1
Zfp771_p1	12	-0.09239	-1.3454	0.086404	0.55887	0.17849	1
Lrrfip2_p2	12	-0.001041	-0.018541	0.89737	0.98271	0.98521	1
Foxp1_p2	12	-0.028597	-0.42229	0.64298	0.94277	0.67282	1
Zfp930_p1	12	-0.013795	-0.23432	0.87851	0.98271	0.81474	1
Ubtf_p3	12	0.028154	0.38214	0.43465	0.87056	0.70236	1
Srf_p1	12	-0.084642	-0.91348	0.11096	0.60343	0.36099	1
Klf11_p2	12	-0.038999	-0.42033	0.49605	0.8938	0.67424	1
Zbtb2_p1	12	-0.037335	-0.5956	0.51469	0.89392	0.55144	1
Sox13_p1	12	-0.050118	-0.60634	0.35504	0.85247	0.54429	1
Etv4_p2	12	0.026966	0.34126	0.44912	0.87548	0.73291	1
Rara_p2	12	0.010979	0.12534	0.69057	0.95774	0.90026	1
Mta2_p1	12	-0.0080578	-0.10821	0.9807	0.99208	0.91383	1
Atf3_p1	12	-0.042726	-0.7032	0.44561	0.87548	0.48193	1
Nfyb_p1	12	-0.094748	-1.6217	0.079825	0.54737	0.10486	1
Foxa2_p1	12	0.034207	0.43396	0.35987	0.85247	0.66432	1
Rbak_p1	12	-0.024815	-0.4292	0.70395	0.95774	0.66777	1
Hsf2_p1	12	0.030902	0.43449	0.39693	0.8662	0.66393	1
Zfp369_p1	12	-0.046162	-0.64391	0.40066	0.8662	0.51963	1
Lrrfip1_p1	12	0.030867	0.42844	0.39759	0.8662	0.66833	1
Kmt2c_p1	12	0.065581	0.88793	0.11228	0.60343	0.37458	1
E4f1_p1	12	-0.097688	-1.1377	0.074123	0.53077	0.25525	1
Bcorl1_p2	12	-0.082951	-1.255	0.11952	0.61189	0.20948	1
Csde1_p1	12	0.10531	1.3826	0.016009	0.26071	0.16679	1
Carhsp1_p1	12	0.024093	0.52082	0.48947	0.8938	0.60249	1
Cdx4_p1	12	-0.07827	-1.2761	0.14101	0.61792	0.20193	1
Tfam_p2	12	-0.074752	-0.9703	0.15877	0.64737	0.3319	1
Nr0b1_p1	12	-0.01644	-0.2074	0.83662	0.97727	0.8357	1
Pitx2_p2	12	-0.031276	-0.32359	0.60395	0.93485	0.74625	1
Preb_p2	12	-0.017795	-0.26762	0.81009	0.97429	0.78899	1
Crebzf_p2	12	0.027725	0.31103	0.43925	0.87056	0.75578	1
Maff_p3	12	-0.020703	-0.34118	0.76404	0.97296	0.73297	1
Zscan25_p1	12	0.06903	0.78689	0.094518	0.58121	0.43135	1
Zfp65_p1	12	-0.023338	-0.27343	0.72654	0.9673	0.78452	1
Zfp263_p2	12	-0.017434	-0.21594	0.81689	0.97429	0.82903	1
Mxi1_p2	12	-0.0029246	-0.033885	0.92961	0.99208	0.97297	1
Lyar_p1	12	-0.0436	-0.7441	0.43333	0.87056	0.45682	1
Zfp644_p2	12	0.034889	0.48164	0.35285	0.85247	0.63006	1
Wdhd1_p1	12	-0.052869	-0.5736	0.32632	0.84545	0.56624	1
Atf2_p1	12	-0.060359	-0.86454	0.26096	0.79076	0.38729	1
Six1_p1	12	0.10257	1.4531	0.018202	0.26774	0.1462	1
Zmat3_p2	12	0.0035814	0.062055	0.82061	0.97429	0.95052	1
Platr25_p4	12	0.027538	0.37685	0.44057	0.87056	0.70628	1
Nfkb2_p2	12	-0.065484	-1.0418	0.2193	0.72143	0.29751	1
E2f2_p1	12	-0.040717	-0.86655	0.47061	0.89027	0.38619	1
Smad2_p1	12	0.051972	0.83593	0.19364	0.69769	0.4032	1
Pura_p1	12	0.0080391	0.15411	0.74496	0.9701	0.87752	1
Zfp449_p1	12	-0.013484	-0.1494	0.88333	0.98271	0.88124	1
Hmga1_p1	12	0.021086	0.24631	0.53136	0.89575	0.80544	1
Arid2_p1	12	-0.0090728	-0.17219	0.95987	0.99208	0.86329	1
Tead4_p1	12	0.030061	0.40808	0.40746	0.8662	0.68322	1
Hes6_p1	12	-0.022112	-0.27229	0.74386	0.9701	0.7854	1
Stat3_p2	12	-0.02937	-0.34947	0.63246	0.93485	0.72674	1
Zbtb43_p1	12	0.041293	0.62669	0.28596	0.80961	0.53087	1
Nanog_p1	12	-0.3544	-3.0722	0	0	0.0021249	0.13052
Zfp574_p1	12	-0.018706	-0.26835	0.79627	0.97296	0.78843	1
Id2_p2	12	0.034622	0.5852	0.35548	0.85247	0.55841	1
Nr3c1_p2	12	-0.015715	-0.25766	0.84912	0.98271	0.79667	1
Nkrf_p1	12	0.14156	1.621	0.002193	0.074074	0.10502	1
Zbtb8a_p1	12	-0.028609	-0.47346	0.64298	0.94277	0.63588	1
Zfp553_p1	12	-0.043601	-0.68305	0.43333	0.87056	0.49457	1
Mier3_p5	12	-0.013669	-0.15501	0.88048	0.98271	0.87681	1
Irf1_p1	12	-0.03453	-0.69512	0.55482	0.91667	0.48698	1
Lrrfip1_p2	12	0.007607	0.12716	0.75	0.9701	0.89882	1
Zfp938_p1	12	0.011739	0.18513	0.67654	0.95046	0.85312	1
Thap12_p1	12	0.087825	1.4108	0.035526	0.38118	0.15829	1
Foxp4_p1	12	0.029096	0.48293	0.42215	0.87056	0.62915	1
Zbtb33_p1	12	-0.0013137	-0.017512	0.90219	0.98621	0.98603	1
Zfp91_p1	12	0.0035186	0.05453	0.82193	0.97429	0.95651	1
E2f5_p1	12	0.0057031	0.10131	0.78311	0.97296	0.9193	1
Cenpt_p2	12	0.024568	0.24987	0.48421	0.8938	0.80269	1
Klf9_p1	12	-0.023045	-0.29298	0.7307	0.9686	0.76954	1
Hesx1_p2	12	-0.01839	-0.234	0.80154	0.97298	0.81499	1
Zfp334_p1	12	0.022347	0.33812	0.51294	0.89392	0.73528	1
Tsix_p2	12	0.4879	3.0986	0	0	0.0019446	0.13052
Nr4a1_p2	12	0.0056931	0.06646	0.78333	0.97296	0.94701	1
Gata1_p1	12	-0.046577	-0.67146	0.39496	0.8662	0.50193	1
Hopx_p1	12	-0.0007398	-0.0088108	0.8932	0.98271	0.99297	1
E2f8_p2	12	-0.16762	-1.8735	0.0046053	0.12	0.060996	1
Map3k15_p1	12	-0.0087187	-0.095045	0.96974	0.99208	0.92428	1
Nr3c1_p1	12	-0.02409	-0.28057	0.71447	0.9583	0.77904	1
Arid3a_p2	12	0.012076	0.1498	0.67061	0.95046	0.88092	1
Sox4_p1	12	0.06687	0.61922	0.10482	0.5975	0.53577	1
Bbx_p2	12	-0.036425	-0.58583	0.52675	0.89572	0.55799	1
Maz_p1	12	-0.048678	-0.74891	0.37105	0.86327	0.45391	1
Foxk2_p1	12	-0.039176	-0.68155	0.49408	0.8938	0.49553	1
Arid4b_p2	12	-0.025138	-0.30157	0.69759	0.95774	0.76298	1
Baz2b_p2	12	0.0053776	0.076308	0.78838	0.97296	0.93917	1
Baz2b_p1	12	0.084143	1.066	0.042544	0.4	0.28644	1
Mbd3_p1	12	-0.13071	-1.8136	0.022807	0.29444	0.06974	1
Zfp131_p1	12	0.085982	0.54656	0.038596	0.38681	0.58468	1
Gabpb2_p1	12	0.082319	1.1635	0.046711	0.41748	0.24464	1
Arid4a_p2	12	0.0020907	0.023078	0.84583	0.98142	0.98159	1
Hopx_p2	12	-0.043184	-0.59124	0.43947	0.87056	0.55436	1
Id2_p1	12	-0.11963	-1.3029	0.032237	0.35238	0.19262	1
Sp1_p3	12	-0.1501	-1.8768	0.0089912	0.19524	0.060547	1
Tead2_p1	12	-0.034605	-0.51343	0.55373	0.91652	0.60765	1
Myc_p1	12	0.0606	1.1851	0.1375	0.61792	0.23596	1
Rlf_p1	12	0.066393	0.92796	0.10746	0.60343	0.35343	1
Zbtb6_p2	12	0.033592	0.77107	0.36842	0.86205	0.44067	1
Zfp27_p1	12	0.040499	0.48658	0.29232	0.80961	0.62655	1
Lin28a_p1	12	-0.0047729	-0.11626	0.96053	0.99208	0.90745	1
Zfp646_p2	12	-0.020549	-0.33651	0.76798	0.97296	0.73649	1
Zfp871_p2	12	-0.029581	-0.37475	0.63004	0.93485	0.70785	1
Rbck1_p1	12	0.05991	0.54947	0.14232	0.61792	0.58268	1
Nfatc4_p3	12	7.7706e-05	0.00082355	0.87895	0.98271	0.99934	1
Zfp516_p4	12	0.038798	0.51934	0.31184	0.82989	0.60352	1
Gatad1_p1	12	-0.023774	-0.4879	0.72018	0.96305	0.62562	1
Tet2_p2	12	-0.061267	-0.74736	0.25285	0.78456	0.45485	1
Smad5_p1	12	-0.01672	-0.19895	0.83158	0.97727	0.8423	1
Relb_p1	12	-0.0044718	-0.046878	0.9557	0.99208	0.96261	1
Jund_p1	12	-0.026064	-0.35623	0.68136	0.95046	0.72166	1
Zmat3_p1	12	0.053825	0.90389	0.17961	0.6825	0.36606	1
Tfe3_p2	12	-0.0065555	-0.080371	0.99342	0.9956	0.93594	1
Zfp493_p1	12	-0.0027718	-0.04457	0.92763	0.99208	0.96445	1
Grhl3_p1	12	0.10337	1.6868	0.017105	0.26774	0.091649	1
Gm45871_p1	12	-0.012127	-0.17021	0.90746	0.98621	0.86485	1
Atf4_p1	12	0.015721	0.16907	0.61294	0.93485	0.86574	1
Trp73_p1	12	0.026217	0.33797	0.45877	0.8827	0.73539	1
Zkscan6_p1	12	-0.0077741	-0.11506	0.98399	0.99208	0.9084	1
Gm14403_p1	6	-0.10603	-0.95091	0.14123	0.61792	0.34165	1
Gm35315_p1	12	0.029817	0.39284	0.41031	0.86821	0.69444	1
Rxra_p1	12	0.0006112	0.012206	0.86908	0.98271	0.99026	1
Rara_p1	12	-0.013414	-0.19349	0.88531	0.98271	0.84658	1
Brd4_p1	12	-0.16716	-2.7482	0.0046053	0.12	0.0059921	0.28762
Smarce1_p2	12	0.108	1.2385	0.014035	0.24615	0.21554	1
Pou3f1_p1	12	-0.015478	-0.22821	0.85219	0.98271	0.81948	1
Epas1_p1	12	-0.038678	-0.47793	0.49912	0.8938	0.6327	1
Mier3_p2	12	0.020499	0.32273	0.54013	0.90385	0.7469	1
Zfp36l2_p1	12	0.064748	0.96927	0.11579	0.60343	0.33241	1
Zfp59_p1	12	0.015801	0.22654	0.61272	0.93485	0.82078	1
Zfp760_p1	12	0.015436	0.15424	0.61776	0.93485	0.87742	1
Mynn_p2	12	-0.0052739	-0.059008	0.97083	0.99208	0.95295	1
Usf2_p2	12	0.030688	0.54992	0.3989	0.8662	0.58237	1
Zfp367_p1	12	-0.0043916	-0.0671	0.95351	0.99208	0.9465	1
Smad2_p2	12	-0.0083204	-0.12208	0.97566	0.99208	0.90284	1
Ripply1_p1	12	-0.042488	-0.5191	0.44912	0.87548	0.60369	1
Mynn_p1	12	0.05137	1.1143	0.19846	0.69769	0.26514	1
Gtf3a_p1	12	-0.016237	-0.19943	0.83904	0.97727	0.84192	1
T_p2	12	-0.11483	-1.6707	0.040789	0.39167	0.09478	1
Klf8_p1	12	0.052904	0.67742	0.18772	0.69769	0.49814	1
Rcor1_p1	12	-0.00055198	-0.0059108	0.89013	0.98271	0.99528	1
Etv6_p1	12	-0.094545	-1.1433	0.080702	0.54925	0.25292	1
Parp12_p1	12	-0.030546	-0.30213	0.61535	0.93485	0.76255	1
Rbpj_p2	12	-0.082318	-1.181	0.12259	0.61189	0.2376	1
Xbp1_p2	12	0.055888	0.72902	0.16623	0.65628	0.46599	1
Gm9785_p1	12	-0.023357	-0.29426	0.72588	0.9673	0.76856	1
Zfp37_p3	12	-0.023458	-0.28622	0.72478	0.9673	0.77471	1
Jdp2_p1	12	0.015894	0.18817	0.61162	0.93485	0.85074	1
Adnp_p1	12	-0.33475	-2.9545	0	0	0.0031313	0.16798
Zfp692_p1	12	-0.07938	-1.5106	0.13596	0.61792	0.13089	1
Tfe3_p1	12	-0.0027153	-0.033165	0.92675	0.99208	0.97354	1
Zfp408_p1	12	-0.022104	-0.32709	0.74408	0.9701	0.7436	1
Rxra_p2	12	-0.025205	-0.284	0.69561	0.95774	0.77641	1
Bach1_p1	12	-0.018734	-0.33884	0.79627	0.97296	0.73473	1
Spic_p2	12	0.016645	0.24058	0.60088	0.93485	0.80988	1
Jarid2_p3	12	0.05073	0.62895	0.20175	0.70149	0.52938	1
Trp53_p1	12	0.062178	0.83936	0.12982	0.61792	0.40127	1
Zbtb32_p2	12	0.032209	0.42512	0.38311	0.8662	0.67075	1
5430403G16Rik_p1	12	0.045925	0.65504	0.23969	0.7564	0.51244	1
Zfp386_p1	12	0.062217	0.58701	0.12939	0.61792	0.5572	1
Hmgxb3_p1	12	-0.055863	-0.89297	0.29518	0.80961	0.37187	1
Zfp7_p1	12	-0.0075466	-0.079418	0.98794	0.99208	0.9367	1
Tcfl5_p1	12	0.062959	0.95405	0.12412	0.61189	0.34006	1
Nr6a1_p1	12	-0.0098999	-0.15229	0.94803	0.99208	0.87896	1
Csrnp2_p1	12	0.026456	0.243	0.45658	0.8827	0.80801	1
Zmiz2_p1	12	-0.070568	-1.1807	0.18706	0.69769	0.23772	1
Zfp281_p1	12	0.20633	1.9017	0	0	0.057206	1
Stag2_p3	12	-0.087343	-1.1542	0.10439	0.5975	0.24844	1
Nr3c1_p5	12	0.098296	1.3855	0.023246	0.29444	0.16589	1
Gm20939_p1	11	0.021068	0.31891	0.55197	0.91564	0.74979	1
Zfp977_p1	10	-0.045892	-0.5682	0.44101	0.87056	0.5699	1
Foxp1_p4	12	-0.0298	-0.44827	0.62522	0.93485	0.65396	1
Nr6a1_p3	12	-0.015202	-0.20102	0.85746	0.98271	0.84068	1
Zfp719_p1	12	0.0050134	0.074261	0.7943	0.97296	0.9408	1
Zfp819_p1	12	0.044158	0.4646	0.25636	0.78456	0.64222	1
Foxi3_p1	12	0.098169	2.0691	0.023246	0.29444	0.038536	1
Klf6_p1	12	-0.094041	-0.91067	0.082237	0.55147	0.36247	1
Tfeb_p4	12	-0.066367	-0.8759	0.21382	0.71168	0.38109	1
Nfatc4_p1	12	0.10446	1.3022	0.016667	0.26667	0.19286	1
Hnrnpk_p1	12	0.086644	1.2971	0.038377	0.38681	0.1946	1
Pias1_p2	12	-0.071752	-0.7897	0.17697	0.67866	0.4297	1
Srebf1_p3	12	-0.0025878	-0.032514	0.9239	0.99208	0.97406	1
T_p1	12	-0.0087863	-0.15182	0.96798	0.99208	0.87933	1
Ftx_p2	12	-0.17804	-1.8545	0.0030702	0.093333	0.063671	1
Zfp617_p2	12	0.052177	0.53094	0.19211	0.69769	0.59546	1
Tgif2_p2	12	-0.037584	-0.52154	0.51184	0.89392	0.60199	1
Zfp747_p1	12	0.058339	0.73999	0.15285	0.63909	0.45931	1
Ybx3_p1	12	0.086266	1.6459	0.038596	0.38681	0.099787	1
Myef2_p1	12	-0.06867	-0.75125	0.19803	0.69769	0.4525	1
Zfp266_p1	12	-0.021986	-0.23865	0.74583	0.9701	0.81138	1
Maf1_p1	12	0.051358	0.58482	0.1989	0.69769	0.55867	1
Crebrf_p1	12	-0.011497	-0.14458	0.91974	0.99208	0.88505	1
Zbtb45_p1	12	-0.010162	-0.13428	0.94474	0.99208	0.89318	1
Klf10_p2	12	-0.046753	-0.59709	0.39276	0.8662	0.55044	1
Brd4_p2	12	-0.0056058	-0.074674	0.97785	0.99208	0.94047	1
Zfp217_p3	12	-0.07489	-0.59211	0.15789	0.64737	0.55378	1
Zfp472_p1	12	0.012804	0.15585	0.66053	0.94851	0.87615	1
Vezf1_p1	12	0.078815	1.4535	0.055921	0.44132	0.1461	1
Arid1a_p2	12	0.00084572	0.0089688	0.86404	0.98271	0.99284	1
Zfp236_p2	12	0.13912	1.421	0.0028509	0.089655	0.15532	1
Tsc22d1_p1	12	-0.083235	-1.0379	0.11798	0.61136	0.29931	1
Olig2_p1	12	0.021528	0.24358	0.52456	0.89533	0.80756	1
Jun_p1	12	0.023928	0.27065	0.49167	0.8938	0.78666	1
Aff1_p1	12	0.038341	0.53863	0.31557	0.82989	0.59015	1
Paxbp1_p1	12	0.013947	0.22179	0.64057	0.94226	0.82447	1
Zfp42_p1	12	0.080928	0.93219	0.050658	0.43178	0.35124	1
Zfp874b_p1	12	0.058012	0.81071	0.15417	0.63909	0.41753	1
Zfp985_p1	8	-0.095854	-0.93614	0.12654	0.61792	0.3492	1
Gmeb2_p2	12	0.0079154	0.083857	0.74671	0.9701	0.93317	1
Cbfb_p1	12	-0.02793	-0.44397	0.65482	0.94684	0.65707	1
Zfp971_p1	12	-0.024026	-0.38382	0.71469	0.9583	0.70111	1
Lcor_p1	12	0.012253	0.18266	0.66798	0.95016	0.85506	1
Bclaf1_p1	12	0.084862	0.84429	0.040351	0.39167	0.39851	1
Lbr_p1	12	-0.22747	-3.0691	0.0002193	0.0086957	0.0021467	0.13052
Nr2c2_p1	12	0.0058937	0.093815	0.78048	0.97296	0.92526	1
E2f3_p2	12	0.084663	1.0823	0.041009	0.39167	0.27913	1
Kansl1_p1	12	-0.034036	-0.48151	0.56184	0.91993	0.63015	1
Zfp62_p1	12	-0.037752	-0.77183	0.51053	0.89392	0.44021	1
Zfp219_p2	12	-0.022212	-0.3074	0.74145	0.9701	0.75854	1
Klf2_p1	12	-0.024013	-0.28628	0.71557	0.9583	0.77466	1
Tcf3_p1	12	0.065248	1.1411	0.11382	0.60343	0.25385	1
Rxrb_p2	12	0.040053	0.44571	0.29561	0.80961	0.65581	1
Zfp512_p1	12	-0.030684	-0.34618	0.61382	0.93485	0.72921	1
Zfp37_p2	12	-0.0048915	-0.063923	0.96338	0.99208	0.94903	1
Cenpt_p1	12	-0.066651	-0.70046	0.21228	0.70916	0.48364	1
Zfp267_p1	12	0.06181	0.73064	0.13158	0.61792	0.465	1
Hmgb1_p2	12	-0.063163	-0.73378	0.2364	0.7564	0.46308	1
Zfp296_p2	12	0.082621	0.93822	0.046491	0.41748	0.34813	1
Creb3_p1	12	-0.015958	-0.20651	0.8443	0.98089	0.83639	1
Hbp1_p2	12	0.015138	0.26812	0.62303	0.93485	0.78861	1
Snapc4_p1	12	0.0034875	0.042508	0.82259	0.97429	0.96609	1
Rcor2_p3	12	-0.02245	-0.24957	0.73904	0.9701	0.80292	1
Zfp57_p1	12	-0.024099	-0.26127	0.71447	0.9583	0.79388	1
Maff_p2	12	-0.072767	-1.0648	0.17018	0.66325	0.28695	1
Arid3a_p1	12	0.042413	0.53081	0.27456	0.80961	0.59555	1
Gpbp1l1_p1	12	0.020776	0.31962	0.53618	0.8989	0.74926	1
Nr2c2_p2	12	-0.024083	-0.32702	0.71447	0.9583	0.74365	1
Gm15446_p1	8	-0.043922	-0.36888	0.49715	0.8938	0.71222	1
Id3_p1	12	0.0063976	0.11452	0.77083	0.97296	0.90882	1
Cbfb_p2	12	0.069237	0.70767	0.09386	0.58121	0.47915	1
Zfp84_p1	12	-0.053877	-0.53485	0.31557	0.82989	0.59276	1
Zbtb41_p2	12	-0.036128	-0.4063	0.5307	0.89575	0.68452	1
Stat6_p2	12	-0.00050668	-0.0068935	0.88947	0.98271	0.9945	1
Hnrnpu_p2	12	-0.023038	-0.22068	0.7307	0.9686	0.82534	1
Sp2_p2	12	-0.046469	-0.50719	0.39583	0.8662	0.61202	1
Zfp37_p1	12	0.040429	0.37728	0.29298	0.80961	0.70597	1
Klf16_p1	12	0.11517	1.6581	0.010526	0.22326	0.097297	1
Arid5b_p2	12	0.049578	0.44853	0.20833	0.7037	0.65377	1
Gata1_p3	12	0.040115	0.46996	0.29539	0.80961	0.63838	1
Gabpb1_p1	12	0.06823	1.0625	0.098246	0.59346	0.28802	1
Zfp322a_p1	12	0.0054372	0.071143	0.78772	0.97296	0.94328	1
Zfp770_p1	12	-0.013196	-0.16074	0.88838	0.98271	0.8723	1
Zfp74_p2	12	0.034243	0.38615	0.35921	0.85247	0.69938	1
Zfp512b_p1	12	-0.021111	-0.27667	0.75768	0.97296	0.78203	1
Pou2f1_p1	12	-0.11974	-1.5705	0.032237	0.35238	0.11631	1
Zfp184_p1	12	-0.019126	-0.34421	0.78947	0.97296	0.73069	1
Hnrnpk_p3	12	0.076204	1.064	0.063158	0.46829	0.28731	1
Pias1_p1	12	-0.17593	-2.4915	0.0037281	0.10968	0.012722	0.52737
5730507C01Rik_p1	12	-0.019509	-0.33308	0.78158	0.97296	0.73907	1
Rlim_p1	12	-0.43059	-4.6379	0	0	3.5201e-06	0.00079415
Mixl1_p1	12	0.0279	0.3941	0.43706	0.87056	0.69351	1
Zfp36l1_p1	12	0.11313	1.7068	0.011184	0.22667	0.087854	1
Zfp622_p1	12	0.041255	0.53387	0.2864	0.80961	0.59343	1
Mier3_p3	12	-0.010283	-0.1422	0.94232	0.99208	0.88692	1
Purb_p1	12	0.04995	0.65963	0.20614	0.70149	0.50949	1
Yy1_p1	12	-0.094709	-1.1879	0.079825	0.54737	0.23486	1
Zfp981_p1	10	0.03111	0.46624	0.43947	0.87056	0.64105	1
Pitx2_p3	12	-0.024146	-0.39056	0.71382	0.9583	0.69612	1
Zfp771_p2	12	-0.055552	-0.8894	0.29956	0.81484	0.37379	1
Mta3_p1	12	0.04845	0.65682	0.21776	0.71957	0.51129	1
Sall1_p1	12	-0.00056626	-0.0056555	0.89057	0.98271	0.99549	1
Mta1_p1	12	0.014943	0.2276	0.62522	0.93485	0.81996	1
Stat6_p4	12	0.017793	0.19221	0.58246	0.92617	0.84757	1
Zfp687_p1	12	0.06092	0.92759	0.13531	0.61792	0.35362	1
Ascl2_p2	12	0.13782	2.0674	0.0028509	0.089655	0.038701	1
Klf10_p1	12	-0.034263	-0.513	0.55921	0.91835	0.60795	1
Nfatc4_p4	12	-0.0059957	-0.055695	0.98377	0.99208	0.95559	1
Six1_p3	12	0.035934	0.42183	0.34123	0.85247	0.67315	1
Thap7_p1	12	0.022801	0.52512	0.5057	0.8938	0.5995	1
Arid3b_p1	12	-0.009035	-0.10592	0.96075	0.99208	0.91564	1
Tfeb_p3	12	-0.031071	-0.39077	0.60702	0.93485	0.69597	1
Arid5b_p1	12	-0.09519	-1.3161	0.079167	0.54737	0.18815	1
Rarg_p3	12	-0.033104	-0.43468	0.57719	0.92513	0.6638	1
Mafk_p1	12	0.02828	0.49877	0.43333	0.87056	0.61794	1
Foxo4_p1	12	0.09929	1.1	0.022588	0.29444	0.27133	1
Zfp459_p1	12	0.026877	0.41526	0.45022	0.87548	0.67795	1
Baz2b_p3	12	0.033056	0.33412	0.37346	0.8662	0.73829	1
Gatad1_p2	7	-0.049703	-0.57916	0.45768	0.8827	0.56248	1
Elf1_p1	12	0.08099	1.1768	0.050658	0.43178	0.23926	1
Ets2_p1	12	-0.010566	-0.18523	0.93706	0.99208	0.85305	1
Tfeb_p2	12	-0.084536	-1.3257	0.11118	0.60343	0.18495	1
Hmgb3_p1	12	-0.012035	-0.13653	0.90855	0.98621	0.8914	1
Zfp961_p1	12	0.0061428	0.092015	0.77697	0.97296	0.92669	1
Zfp568_p1	12	0.073993	1.0834	0.072807	0.52698	0.27864	1
Nr1h2_p2	12	-0.042619	-0.35965	0.44737	0.87548	0.71911	1
Zfp790_p1	12	0.043779	0.57582	0.26206	0.79076	0.56474	1
Stag2_p1	12	-0.013339	-0.19962	0.88618	0.98271	0.84177	1
Mxi1_p1	12	0.07827	1.3634	0.057018	0.44132	0.17275	1
Bcorl1_p1	12	0.005864	0.066679	0.78114	0.97296	0.94684	1
Sall4_p2	12	-0.067729	-0.90621	0.20482	0.70149	0.36483	1
Six4_p1	12	0.078324	1.1875	0.057018	0.44132	0.23503	1
Foxh1_p1	12	0.13208	1.3285	0.0039474	0.1125	0.184	1
Zzz3_p2	12	-0.056033	-0.67094	0.29386	0.80961	0.50226	1
Zfp65_p2	12	0.019846	0.22097	0.55219	0.91564	0.82512	1
Stat6_p3	12	-0.030952	-0.6742	0.60833	0.93485	0.50018	1
Ybx1_p2	12	0.045779	0.37959	0.24101	0.75793	0.70425	1
Nr2f6_p1	12	0.0060098	0.098867	0.77829	0.97296	0.92124	1
Mier1_p2	12	-0.02028	-0.20327	0.77105	0.97296	0.83892	1
4930522L14Rik_p1	12	0.035724	0.57532	0.34342	0.85247	0.56507	1
Mef2b_p1	12	0.078578	1.3023	0.05636	0.44132	0.19282	1
Setdb2_p1	12	0.011733	0.11246	0.67654	0.95046	0.91046	1
Lin28b_p2	12	0.0050265	0.082927	0.79408	0.97296	0.93391	1
Usf2_p3	12	-0.038408	-0.57806	0.50285	0.8938	0.56322	1
Pms1_p1	12	0.046463	0.60106	0.23531	0.75563	0.5478	1
E2f8_p1	12	-0.096686	-1.0898	0.075658	0.53077	0.27581	1
Tfap2c_p2	12	0.011791	0.17217	0.6761	0.95046	0.86331	1
Zfp367_p2	12	-0.038469	-0.44354	0.50154	0.8938	0.65738	1
Mllt10_p2	12	-0.062833	-1.0183	0.23904	0.7564	0.30853	1
Spen_p1	12	0.0086075	0.096625	0.73465	0.9701	0.92302	1
Pou5f1_p1	12	-0.79803	-5.04	0	0	4.6564e-07	0.00021233
Zbtb21_p1	12	-0.077774	-1.0596	0.14364	0.61792	0.28931	1
Plagl1_p1	12	-0.0048623	-0.054784	0.96272	0.99208	0.95631	1
Nfx1_p1	12	0.041082	0.63466	0.28794	0.80961	0.52565	1
Hmgb1_p5	12	-0.043194	-0.49969	0.43904	0.87056	0.61729	1
Gm20422_p1	12	-0.077297	-1.5142	0.14539	0.62254	0.12998	1
Zfx_p2	12	0.027493	0.35945	0.44101	0.87056	0.71926	1
Creb3_p2	12	0.0075325	0.09703	0.75088	0.9701	0.9227	1
Zfp87_p1	12	0.018854	0.39966	0.56754	0.921	0.68941	1
Zic5_p1	12	-0.047826	-0.64979	0.38004	0.8662	0.51583	1
Spic_p1	12	0.0028239	0.036728	0.83355	0.97727	0.9707	1
Rarg_p2	12	-0.052316	-0.7374	0.33399	0.85247	0.46088	1
Zfp296_p1	12	0.23849	3.4239	0	0	0.00061739	0.062562
Zfp26_p1	12	0.013255	0.15338	0.65285	0.94684	0.8781	1
Nfxl1_p1	12	-0.029776	-0.48721	0.62566	0.93485	0.62611	1
Zfp110_p1	12	-0.03638	-0.49857	0.52741	0.89572	0.61808	1
Srebf1_p1	12	0.043631	0.56683	0.26272	0.79076	0.57083	1
Cpeb1_p4	12	0.09459	1.1929	0.027632	0.33421	0.23291	1
Cpeb1_p1	12	0.021731	0.3024	0.52193	0.89533	0.76235	1
Zik1_p1	12	0.074393	0.61056	0.071053	0.5184	0.54149	1
Elf1_p2	12	0.060685	0.60691	0.13684	0.61792	0.54391	1
Repin1_p1	12	-0.029808	-0.4507	0.62522	0.93485	0.65221	1
Msl1_p1	12	0.016944	0.26459	0.59605	0.93485	0.79133	1
Mitf_p4	12	-0.051511	-0.55479	0.34057	0.85247	0.57904	1
Hmgb3_p3	12	0.065003	0.89532	0.11447	0.60343	0.37062	1
Rbpj_p4	12	-0.052252	-0.55053	0.33443	0.85247	0.58196	1
Lin28b_p3	12	0.046024	0.82332	0.23882	0.7564	0.41033	1
Xert_p1	12	-0.049249	-0.62677	0.36404	0.85788	0.53081	1
Aire_p2	12	0.073202	0.83433	0.075658	0.53077	0.40409	1
Zfp13_p1	12	0.070587	0.69247	0.087719	0.55944	0.48864	1
Jarid2_p1	12	0.00053806	0.0063586	0.86996	0.98271	0.99493	1
Zfp975_p1	12	0.024735	0.40079	0.4818	0.8938	0.68858	1
Zfp644_p1	12	0.017877	0.26044	0.58158	0.92617	0.79452	1
