gene	transcript	chromosome	strand	source	TSS	cluster	id
Dcp1a	ENSMUST00000022535.8	chr14	+	HAVANA	30479612	p1	Dcp1a_p1
Dcp1a	ENSMUST00000225518.1	chr14	+	HAVANA	30479635	p1	Dcp1a_p1
Dcp1a	ENSMUST00000223658.1	chr14	+	HAVANA	30479677	p1	Dcp1a_p1
Dcp1a	ENSMUST00000225286.1	chr14	+	HAVANA	30479679	p1	Dcp1a_p1
Ddit3	ENSMUST00000026475.14	chr10	+	HAVANA	127290774	p1	Ddit3_p1
Ddit3	ENSMUST00000139091.1	chr10	+	HAVANA	127290793	p1	Ddit3_p1
Ddit3	ENSMUST00000134686.1	chr10	+	HAVANA	127290794	p1	Ddit3_p1
Ddit3	ENSMUST00000230446.1	chr10	+	HAVANA	127290829	p1	Ddit3_p1
Dmrt1	ENSMUST00000025755.10	chr19	+	HAVANA	25505618	p1	Dmrt1_p1
Dmrt1	ENSMUST00000087525.4	chr19	+	HAVANA	25505706	p1	Dmrt1_p1
Dmrt1	ENSMUST00000160814.1	chr19	+	HAVANA	25505707	p1	Dmrt1_p1
Dmtf1	ENSMUST00000071921.12	chr5	-	HAVANA	9161776	p1	Dmtf1_p1
Dmtf1	ENSMUST00000184159.7	chr5	-	HAVANA	9161719	p1	Dmtf1_p1
Dmtf1	ENSMUST00000095017.10	chr5	-	HAVANA	9161749	p1	Dmtf1_p1
Dmtf1	ENSMUST00000184120.7	chr5	-	HAVANA	9161752	p1	Dmtf1_p1
Dmtf1	ENSMUST00000184888.7	chr5	-	HAVANA	9161759	p1	Dmtf1_p1
Dmtf1	ENSMUST00000184620.7	chr5	-	HAVANA	9161743	p1	Dmtf1_p1
Dmtf1	ENSMUST00000183448.7	chr5	-	HAVANA	9161671	p1	Dmtf1_p1
Dmtf1	ENSMUST00000183973.7	chr5	-	HAVANA	9161701	p1	Dmtf1_p1
Dmtf1	ENSMUST00000184903.7	chr5	-	HAVANA	9161743	p1	Dmtf1_p1
Dmtf1	ENSMUST00000184947.7	chr5	-	HAVANA	9161737	p1	Dmtf1_p1
Dmtf1	ENSMUST00000184372.7	chr5	-	HAVANA	9161716	p1	Dmtf1_p1
Dmtf1	ENSMUST00000183792.7	chr5	-	HAVANA	9161734	p1	Dmtf1_p1
Dmtf1	ENSMUST00000185193.7	chr5	-	HAVANA	9161749	p1	Dmtf1_p1
Dnajc2	ENSMUST00000030771.11	chr5	-	HAVANA	21785251	p1	Dnajc2_p1
Dnajc2	ENSMUST00000115193.7	chr5	-	HAVANA	21785184	p1	Dnajc2_p1
Dnajc2	ENSMUST00000132962.7	chr5	-	HAVANA	21785170	p1	Dnajc2_p1
Dnajc2	ENSMUST00000115195.7	chr5	-	HAVANA	21785216	p1	Dnajc2_p1
Dnajc2	ENSMUST00000147987.1	chr5	-	HAVANA	21785154	p1	Dnajc2_p1
Dnajc2	ENSMUST00000115192.1	chr5	-	HAVANA	21785185	p1	Dnajc2_p1
Dnmt1	ENSMUST00000178110.2	chr9	-	HAVANA	20952623	p1	Dnmt1_p1
Dnmt1	ENSMUST00000004202.16	chr9	-	HAVANA	20952979	p1	Dnmt1_p1
Dnmt1	ENSMUST00000216540.1	chr9	-	HAVANA	20952605	p1	Dnmt1_p1
Dnmt1	ENSMUST00000215545.1	chr9	-	HAVANA	20952845	p1	Dnmt1_p1
E2f1	ENSMUST00000103145.10	chr2	-	HAVANA	154569892	p1	E2f1_p1
E2f1	ENSMUST00000000894.5	chr2	-	HAVANA	154569720	p1	E2f1_p1
E2f3	ENSMUST00000221536.1	chr13	-	HAVANA	29984391	p1	E2f3_p1
E2f3	ENSMUST00000222730.1	chr13	-	HAVANA	29984391	p1	E2f3_p1
E2f3	ENSMUST00000102948.10	chr13	-	HAVANA	29986063	p2	E2f3_p2
E2f3	ENSMUST00000146092.2	chr13	-	HAVANA	29984241	p1	E2f3_p1
E2f4	ENSMUST00000015003.9	chr8	+	HAVANA	105297663	p1	E2f4_p1
E2f4	ENSMUST00000212037.1	chr8	+	HAVANA	105297717	p1	E2f4_p1
E2f5	ENSMUST00000029069.12	chr3	+	HAVANA	14578641	p1	E2f5_p1
E2f5	ENSMUST00000165922.2	chr3	+	ENSEMBL	14578671	p1	E2f5_p1
E2f6	ENSMUST00000220794.1	chr12	+	HAVANA	16810963	p1	E2f6_p1
E2f6	ENSMUST00000220707.1	chr12	+	HAVANA	16810969	p1	E2f6_p1
E2f6	ENSMUST00000020908.8	chr12	+	HAVANA	16810977	p1	E2f6_p1
E2f6	ENSMUST00000221541.1	chr12	+	HAVANA	16811099	p1	E2f6_p1
E2f6	ENSMUST00000221934.1	chr12	+	HAVANA	16811164	p1	E2f6_p1
E2f8	ENSMUST00000058745.14	chr7	-	HAVANA	48881041	p1	E2f8_p1
E2f8	ENSMUST00000119223.1	chr7	-	HAVANA	48881596	p2	E2f8_p2
E2f8	ENSMUST00000136142.1	chr7	-	HAVANA	48881004	p1	E2f8_p1
E4f1	ENSMUST00000227293.1	chr17	-	HAVANA	24455286	p1	E4f1_p1
E4f1	ENSMUST00000056032.8	chr17	-	HAVANA	24455311	p1	E4f1_p1
E4f1	ENSMUST00000226654.1	chr17	-	HAVANA	24470313	p2	E4f1_p2
E4f1	ENSMUST00000226754.1	chr17	-	HAVANA	24455315	p1	E4f1_p1
E4f1	ENSMUST00000226941.1	chr17	-	HAVANA	24455392	p1	E4f1_p1
E4f1	ENSMUST00000226743.1	chr17	-	HAVANA	24470191	p2	E4f1_p2
Eed	ENSMUST00000238981.1	chr7	-	ENSEMBL	89980976	p1	Eed_p1
Eed	ENSMUST00000107234.2	chr7	-	HAVANA	89980983	p1	Eed_p1
Eed	ENSMUST00000238792.1	chr7	-	HAVANA	89980702	p2	Eed_p2
Eed	ENSMUST00000208977.1	chr7	-	HAVANA	89980976	p1	Eed_p1
Eed	ENSMUST00000208643.1	chr7	-	HAVANA	89980461	p2	Eed_p2
Eed	ENSMUST00000207568.1	chr7	-	HAVANA	89980555	p2	Eed_p2
Eed	ENSMUST00000157001.1	chr7	-	HAVANA	89980559	p2	Eed_p2
Elf1	ENSMUST00000040131.12	chr14	+	HAVANA	79481194	p1	Elf1_p1
Elf1	ENSMUST00000110835.2	chr14	+	HAVANA	79515674	p2	Elf1_p2
Elf1	ENSMUST00000227192.1	chr14	+	HAVANA	79515686	p2	Elf1_p2
Elf1	ENSMUST00000227104.1	chr14	+	HAVANA	79515698	p2	Elf1_p2
Elf2	ENSMUST00000194641.5	chr3	-	HAVANA	51340663	p1	Elf2_p1
Elf2	ENSMUST00000062009.13	chr3	-	HAVANA	51340644	p1	Elf2_p1
Elf2	ENSMUST00000091144.10	chr3	-	HAVANA	51277415	p2	Elf2_p2
Elf2	ENSMUST00000108051.7	chr3	-	HAVANA	51277514	p2	Elf2_p2
Elf2	ENSMUST00000108053.8	chr3	-	HAVANA	51277575	p2	Elf2_p2
Elf2	ENSMUST00000195432.1	chr3	-	HAVANA	51277368	p2	Elf2_p2
Elf2	ENSMUST00000183338.6	chr3	-	HAVANA	51340658	p1	Elf2_p1
Elf2	ENSMUST00000184677.6	chr3	-	HAVANA	51277424	p2	Elf2_p2
Elf2	ENSMUST00000194209.1	chr3	-	HAVANA	51340561	p1	Elf2_p1
Elf2	ENSMUST00000156983.2	chr3	-	HAVANA	51277444	p2	Elf2_p2
Elf3	ENSMUST00000003135.13	chr1	-	HAVANA	135258568	p1	Elf3_p1
Elf3	ENSMUST00000185752.1	chr1	-	HAVANA	135258438	p1	Elf3_p1
Elmsan1	ENSMUST00000046266.12	chr12	-	ENSEMBL	84218881	p1	Elmsan1_p1
Elmsan1	ENSMUST00000110294.1	chr12	-	HAVANA	84194015	p2	Elmsan1_p2
Elmsan1	ENSMUST00000220974.1	chr12	-	HAVANA	84218881	p1	Elmsan1_p1
Eomes	ENSMUST00000111763.7	chr9	+	HAVANA	118478212	p1	Eomes_p1
Eomes	ENSMUST00000035020.14	chr9	+	HAVANA	118478344	p1	Eomes_p1
Eomes	ENSMUST00000150633.1	chr9	+	HAVANA	118478861	p2	Eomes_p2
Erf	ENSMUST00000045847.14	chr7	-	HAVANA	25250761	p1	Erf_p1
Erf	ENSMUST00000116343.2	chr7	-	HAVANA	25250730	p1	Erf_p1
Esrrb	ENSMUST00000116402.9	chr12	+	HAVANA	86361117	p1	Esrrb_p1
Esrrb	ENSMUST00000110203.7	chr12	+	HAVANA	86421644	p2	Esrrb_p2
Esrrb	ENSMUST00000110204.8	chr12	+	HAVANA	86421644	p2	Esrrb_p2
Esrrb	ENSMUST00000021680.11	chr12	+	HAVANA	86421883	p2	Esrrb_p2
Esrrb	ENSMUST00000167891.1	chr12	+	HAVANA	86470117	p3	Esrrb_p3
Esx1	ENSMUST00000113066.8	chrX	-	HAVANA	137120171	p1	Esx1_p1
Esx1	ENSMUST00000074698.2	chrX	-	HAVANA	137120326	p1	Esx1_p1
Esx1	ENSMUST00000155283.1	chrX	-	HAVANA	137122083	p2	Esx1_p2
Ets2	ENSMUST00000023612.16	chr16	+	HAVANA	95702075	p1	Ets2_p1
Ets2	ENSMUST00000233908.1	chr16	+	HAVANA	95702455	p1	Ets2_p1
Ets2	ENSMUST00000233499.1	chr16	+	HAVANA	95702500	p1	Ets2_p1
Etv4	ENSMUST00000164750.7	chr11	-	ENSEMBL	101785310	p1	Etv4_p1
Etv4	ENSMUST00000107176.7	chr11	-	HAVANA	101785371	p1	Etv4_p1
Etv4	ENSMUST00000017868.6	chr11	-	HAVANA	101785371	p1	Etv4_p1
Etv4	ENSMUST00000129160.7	chr11	-	HAVANA	101784861	p2	Etv4_p2
Etv4	ENSMUST00000131862.7	chr11	-	HAVANA	101785258	p1	Etv4_p1
Etv4	ENSMUST00000129995.7	chr11	-	HAVANA	101784491	p2	Etv4_p2
Etv4	ENSMUST00000140970.7	chr11	-	HAVANA	101785222	p1	Etv4_p1
Etv4	ENSMUST00000131117.7	chr11	-	HAVANA	101784388	p2	Etv4_p2
Etv4	ENSMUST00000149099.7	chr11	-	HAVANA	101785260	p1	Etv4_p1
Etv4	ENSMUST00000137179.1	chr11	-	HAVANA	101785310	p1	Etv4_p1
Etv4	ENSMUST00000154512.1	chr11	-	HAVANA	101784848	p2	Etv4_p2
Etv5	ENSMUST00000079601.12	chr16	-	HAVANA	22439719	p1	Etv5_p1
Etv5	ENSMUST00000165506.1	chr16	-	HAVANA	22439616	p1	Etv5_p1
Etv5	ENSMUST00000170393.1	chr16	-	HAVANA	22439570	p1	Etv5_p1
Etv6	ENSMUST00000081028.12	chr6	+	HAVANA	134035700	p1	Etv6_p1
Etv6	ENSMUST00000111963.7	chr6	+	HAVANA	134035700	p1	Etv6_p1
Etv6	ENSMUST00000164648.1	chr6	+	HAVANA	134035969	p1	Etv6_p1
Fiz1	ENSMUST00000167804.8	chr7	-	HAVANA	5014253	p1	Fiz1_p1
Fiz1	ENSMUST00000077385.14	chr7	-	HAVANA	5014678	p1	Fiz1_p1
Fiz1	ENSMUST00000165320.2	chr7	-	HAVANA	5014697	p1	Fiz1_p1
Fiz1	ENSMUST00000208944.1	chr7	-	HAVANA	5013238	p2	Fiz1_p2
Fiz1	ENSMUST00000207030.1	chr7	-	HAVANA	5014269	p1	Fiz1_p1
Fiz1	ENSMUST00000207691.1	chr7	-	HAVANA	5014653	p1	Fiz1_p1
Fiz1	ENSMUST00000207946.1	chr7	-	HAVANA	5013497	p2	Fiz1_p2
Fiz1	ENSMUST00000209060.1	chr7	-	HAVANA	5013644	p2	Fiz1_p2
Fiz1	ENSMUST00000207412.1	chr7	-	HAVANA	5014673	p1	Fiz1_p1
Foxa2	ENSMUST00000109964.7	chr2	-	HAVANA	148045948	p1	Foxa2_p1
Foxa2	ENSMUST00000047315.9	chr2	-	HAVANA	148046969	p2	Foxa2_p2
Foxa2	ENSMUST00000172928.1	chr2	-	HAVANA	148046896	p2	Foxa2_p2
Foxa2	ENSMUST00000146242.1	chr2	-	HAVANA	148045464	p1	Foxa2_p1
Foxh1	ENSMUST00000037824.5	chr15	-	HAVANA	76669948	p1	Foxh1_p1
Foxh1	ENSMUST00000230207.1	chr15	-	HAVANA	76669802	p1	Foxh1_p1
Foxi3	ENSMUST00000163089.1	chr6	+	HAVANA	70956531	p1	Foxi3_p1
Foxi3	ENSMUST00000069634.5	chr6	+	ENSEMBL	70956606	p1	Foxi3_p1
Foxm1	ENSMUST00000123988.7	chr6	+	HAVANA	128362967	p1	Foxm1_p1
Foxm1	ENSMUST00000073316.12	chr6	+	HAVANA	128362967	p1	Foxm1_p1
Foxn2	ENSMUST00000112238.8	chr17	+	HAVANA	88440711	p1	Foxn2_p1
Foxn2	ENSMUST00000155640.1	chr17	+	HAVANA	88440735	p1	Foxn2_p1
Foxn2	ENSMUST00000134107.1	chr17	+	HAVANA	88440758	p1	Foxn2_p1
Foxn2	ENSMUST00000141052.1	chr17	+	HAVANA	88440775	p1	Foxn2_p1
Foxn3	ENSMUST00000046859.11	chr12	-	HAVANA	99393797	p1	Foxn3_p1
Foxn3	ENSMUST00000177451.7	chr12	-	HAVANA	99393072	p2	Foxn3_p2
Foxn3	ENSMUST00000085108.7	chr12	-	ENSEMBL	99450074	p3	Foxn3_p3
Foxn3	ENSMUST00000177269.1	chr12	-	HAVANA	99412605	p4	Foxn3_p4
Foxn3	ENSMUST00000177287.1	chr12	-	HAVANA	99450097	p3	Foxn3_p3
Foxn3	ENSMUST00000176928.2	chr12	-	HAVANA	99563508	p5	Foxn3_p5
Foxn3	ENSMUST00000223484.1	chr12	-	HAVANA	99563536	p5	Foxn3_p5
Foxn3	ENSMUST00000222918.1	chr12	-	HAVANA	99563582	p5	Foxn3_p5
Foxn3	ENSMUST00000221283.1	chr12	-	HAVANA	99563572	p5	Foxn3_p5
Foxo3	ENSMUST00000105502.7	chr10	-	HAVANA	42276752	p1	Foxo3_p1
Foxo3	ENSMUST00000056974.3	chr10	-	HAVANA	42276742	p1	Foxo3_p1
Foxo3	ENSMUST00000175881.7	chr10	-	HAVANA	42276696	p1	Foxo3_p1
Foxo3	ENSMUST00000105501.1	chr10	-	HAVANA	42276755	p1	Foxo3_p1
Foxo4	ENSMUST00000062000.5	chrX	+	HAVANA	101254528	p1	Foxo4_p1
Foxo4	ENSMUST00000150558.1	chrX	+	HAVANA	101254567	p1	Foxo4_p1
Foxo4	ENSMUST00000138437.2	chrX	+	HAVANA	101254821	p1	Foxo4_p1
Foxp1	ENSMUST00000113326.8	chr6	-	HAVANA	99266515	p1	Foxp1_p1
Foxp1	ENSMUST00000176565.7	chr6	-	HAVANA	99520997	p2	Foxp1_p2
Foxp1	ENSMUST00000177437.7	chr6	-	HAVANA	99028258	p3	Foxp1_p3
Foxp1	ENSMUST00000177229.7	chr6	-	HAVANA	99028259	p3	Foxp1_p3
Foxp1	ENSMUST00000074346.11	chr6	-	HAVANA	99163018	p4	Foxp1_p4
Foxp1	ENSMUST00000113328.8	chr6	-	HAVANA	99163018	p4	Foxp1_p4
Foxp1	ENSMUST00000113324.8	chr6	-	HAVANA	99163018	p4	Foxp1_p4
Foxp1	ENSMUST00000113329.9	chr6	-	HAVANA	99163018	p4	Foxp1_p4
Foxp1	ENSMUST00000177230.7	chr6	-	HAVANA	99163018	p4	Foxp1_p4
Foxp1	ENSMUST00000177307.7	chr6	-	HAVANA	99163018	p4	Foxp1_p4
Foxp1	ENSMUST00000124058.7	chr6	-	HAVANA	99028313	p3	Foxp1_p3
Foxp1	ENSMUST00000154163.8	chr6	-	HAVANA	99028942	p5	Foxp1_p5
Foxp1	ENSMUST00000113321.6	chr6	-	HAVANA	99028266	p3	Foxp1_p3
Foxp1	ENSMUST00000175670.1	chr6	-	HAVANA	99027991	p3	Foxp1_p3
Foxp1	ENSMUST00000075832.10	chr6	-	HAVANA	99266515	p1	Foxp1_p1
Foxp1	ENSMUST00000138754.8	chr6	-	HAVANA	99266532	p1	Foxp1_p1
Foxp1	ENSMUST00000131967.7	chr6	-	HAVANA	99266532	p1	Foxp1_p1
Foxp1	ENSMUST00000177227.7	chr6	-	HAVANA	99521162	p2	Foxp1_p2
Foxp1	ENSMUST00000177235.7	chr6	-	HAVANA	99522647	p6	Foxp1_p6
Foxp1	ENSMUST00000175838.1	chr6	-	HAVANA	99522721	p6	Foxp1_p6
Foxp4	ENSMUST00000113265.7	chr17	-	HAVANA	47924645	p1	Foxp4_p1
Foxp4	ENSMUST00000113263.7	chr17	-	HAVANA	47924400	p1	Foxp4_p1
Foxp4	ENSMUST00000097311.8	chr17	-	HAVANA	47924435	p1	Foxp4_p1
Foxp4	ENSMUST00000113262.1	chr17	-	HAVANA	47924476	p1	Foxp4_p1
Foxp4	ENSMUST00000153752.1	chr17	-	HAVANA	47924426	p1	Foxp4_p1
Ftx	ENSMUST00000130063.7	chrX	-	HAVANA	103623754	p1	Ftx_p1
Ftx	ENSMUST00000236107.1	chrX	-	HAVANA	103616835	p2	Ftx_p2
Ftx	ENSMUST00000156240.7	chrX	-	HAVANA	103616954	p2	Ftx_p2
Ftx	ENSMUST00000237368.1	chrX	-	HAVANA	103623790	p1	Ftx_p1
Ftx	ENSMUST00000145803.7	chrX	-	HAVANA	103616863	p2	Ftx_p2
Ftx	ENSMUST00000156211.7	chrX	-	HAVANA	103623663	p1	Ftx_p1
Ftx	ENSMUST00000236231.1	chrX	-	HAVANA	103616945	p2	Ftx_p2
Ftx	ENSMUST00000238083.1	chrX	-	HAVANA	103622369	p3	Ftx_p3
Ftx	ENSMUST00000237053.1	chrX	-	HAVANA	103623790	p1	Ftx_p1
Ftx	ENSMUST00000125419.7	chrX	-	HAVANA	103623754	p1	Ftx_p1
Ftx	ENSMUST00000123841.2	chrX	-	HAVANA	103622500	p3	Ftx_p3
Gabpa	ENSMUST00000114184.7	chr16	+	HAVANA	84834925	p1	Gabpa_p1
Gabpa	ENSMUST00000009120.7	chr16	+	HAVANA	84835124	p1	Gabpa_p1
Gabpb1	ENSMUST00000110425.8	chr2	-	HAVANA	126675568	p1	Gabpb1_p1
Gabpb1	ENSMUST00000110424.8	chr2	-	HAVANA	126675502	p1	Gabpb1_p1
Gabpb1	ENSMUST00000103227.7	chr2	-	HAVANA	126675544	p1	Gabpb1_p1
Gabpb1	ENSMUST00000039978.12	chr2	-	HAVANA	126676337	p2	Gabpb1_p2
Gabpb1	ENSMUST00000103226.9	chr2	-	HAVANA	126675486	p1	Gabpb1_p1
Gabpb1	ENSMUST00000089745.10	chr2	-	HAVANA	126675592	p1	Gabpb1_p1
Gabpb1	ENSMUST00000130263.1	chr2	-	HAVANA	126675339	p1	Gabpb1_p1
Gabpb1	ENSMUST00000124972.7	chr2	-	HAVANA	126675352	p1	Gabpb1_p1
Gabpb2	ENSMUST00000107209.7	chr3	-	HAVANA	95217709	p1	Gabpb2_p1
Gabpb2	ENSMUST00000136139.7	chr3	-	HAVANA	95217916	p1	Gabpb2_p1
Gabpb2	ENSMUST00000070774.13	chr3	-	HAVANA	95217709	p1	Gabpb2_p1
Gabpb2	ENSMUST00000155555.7	chr3	-	HAVANA	95217916	p1	Gabpb2_p1
Gabpb2	ENSMUST00000138862.7	chr3	-	HAVANA	95217916	p1	Gabpb2_p1
Gabpb2	ENSMUST00000107204.7	chr3	-	HAVANA	95217754	p1	Gabpb2_p1
Gabpb2	ENSMUST00000145272.1	chr3	-	HAVANA	95217694	p1	Gabpb2_p1
Gata1	ENSMUST00000033502.13	chrX	-	HAVANA	7967910	p1	Gata1_p1
Gata1	ENSMUST00000125418.1	chrX	-	HAVANA	7978071	p2	Gata1_p2
Gata1	ENSMUST00000128449.1	chrX	-	HAVANA	7964166	p3	Gata1_p3
Gata2	ENSMUST00000170089.7	chr6	+	HAVANA	88193891	p1	Gata2_p1
Gata2	ENSMUST00000203480.1	chr6	+	HAVANA	88198334	p2	Gata2_p2
Gata2	ENSMUST00000015197.8	chr6	+	HAVANA	88198334	p2	Gata2_p2
Gatad1	ENSMUST00000007559.14	chr5	-	HAVANA	3647934	p1	Gatad1_p1
Gatad1	ENSMUST00000196304.1	chr5	-	HAVANA	3657185	p2	Gatad1_p2
Gatad1	ENSMUST00000119783.1	chr5	-	HAVANA	3647806	p1	Gatad1_p1
Gbx2	ENSMUST00000036954.8	chr1	-	HAVANA	89931179	p1	Gbx2_p1
Gbx2	ENSMUST00000187633.1	chr1	-	HAVANA	89929185	p2	Gbx2_p2
Gli2	ENSMUST00000062483.14	chr1	-	HAVANA	119053619	p1	Gli2_p1
Gli2	ENSMUST00000161301.7	chr1	-	HAVANA	119053339	p1	Gli2_p1
Gli2	ENSMUST00000162552.7	chr1	-	HAVANA	119053339	p1	Gli2_p1
Gli2	ENSMUST00000161056.7	chr1	-	HAVANA	119053339	p1	Gli2_p1
Gli2	ENSMUST00000160991.7	chr1	-	HAVANA	119053339	p1	Gli2_p1
Gli2	ENSMUST00000159839.7	chr1	-	HAVANA	119053339	p1	Gli2_p1
Gli2	ENSMUST00000161451.7	chr1	-	HAVANA	119053339	p1	Gli2_p1
Gli2	ENSMUST00000162607.1	chr1	-	HAVANA	119053339	p1	Gli2_p1
Gli3	ENSMUST00000130065.7	chr13	+	HAVANA	15463235	p1	Gli3_p1
Gli3	ENSMUST00000141194.7	chr13	+	HAVANA	15463251	p1	Gli3_p1
Gli3	ENSMUST00000130535.1	chr13	+	HAVANA	15463723	p2	Gli3_p2
Gli3	ENSMUST00000110510.3	chr13	+	HAVANA	15463980	p2	Gli3_p2
Gm14326	ENSMUST00000108932.7	chr2	-	HAVANA	177957288	p1	Gm14326_p1
Gm14326	ENSMUST00000108930.8	chr2	-	HAVANA	177957297	p1	Gm14326_p1
Gm14326	ENSMUST00000108928.1	chr2	-	HAVANA	177957239	p1	Gm14326_p1
Gm14403	ENSMUST00000142549.1	chr2	+	HAVANA	177498215	p1	Gm14403_p1
Gm14403	ENSMUST00000108947.2	chr2	+	HAVANA	177498315	p1	Gm14403_p1
Gm20939	ENSMUST00000234071.1	chr17	+	HAVANA	94864918	p1	Gm20939_p1
Gm20939	ENSMUST00000234295.1	chr17	+	HAVANA	94864918	p1	Gm20939_p1
Gm35315	ENSMUST00000210052.1	chr5	-	HAVANA	110094420	p1	Gm35315_p1
Gm35315	ENSMUST00000211397.1	chr5	-	HAVANA	110094401	p1	Gm35315_p1
Gm45871	ENSMUST00000211710.1	chr18	+	HAVANA	90579777	p1	Gm45871_p1
Gm45871	ENSMUST00000209969.2	chr18	+	HAVANA	90579796	p1	Gm45871_p1
Gm45871	ENSMUST00000209821.1	chr18	+	HAVANA	90579825	p1	Gm45871_p1
Gm49345	ENSMUST00000224814.1	chr13	-	HAVANA	67637769	p1	Gm49345_p1
Gm49345	ENSMUST00000225627.1	chr13	-	HAVANA	67637753	p1	Gm49345_p1
Gm49359	ENSMUST00000221747.1	chr13	-	HAVANA	62466832	p1	Gm49359_p1
Gm49359	ENSMUST00000223247.1	chr13	-	HAVANA	62466806	p1	Gm49359_p1
Gm49359	ENSMUST00000221951.1	chr13	-	HAVANA	62466793	p1	Gm49359_p1
Gm6871	ENSMUST00000073410.11	chr7	-	HAVANA	41560829	p1	Gm6871_p1
Gm6871	ENSMUST00000164677.1	chr7	-	HAVANA	41560795	p1	Gm6871_p1
Gm9785	ENSMUST00000144563.1	chrX	-	HAVANA	103525908	p1	Gm9785_p1
Gm9785	ENSMUST00000062642.2	chrX	-	HAVANA	103526330	p1	Gm9785_p1
Gmeb2	ENSMUST00000049032.12	chr2	-	HAVANA	181288035	p1	Gmeb2_p1
Gmeb2	ENSMUST00000130475.7	chr2	-	HAVANA	181287074	p2	Gmeb2_p2
Gmeb2	ENSMUST00000141003.1	chr2	-	HAVANA	181288016	p1	Gmeb2_p1
Gmeb2	ENSMUST00000147665.1	chr2	-	HAVANA	181288031	p1	Gmeb2_p1
Gpbp1	ENSMUST00000047627.13	chr13	-	HAVANA	111490111	p1	Gpbp1_p1
Gpbp1	ENSMUST00000091236.10	chr13	-	HAVANA	111490028	p1	Gpbp1_p1
Gpbp1l1	ENSMUST00000030460.14	chr4	+	HAVANA	116557658	p1	Gpbp1l1_p1
Gpbp1l1	ENSMUST00000106475.1	chr4	+	HAVANA	116558079	p1	Gpbp1l1_p1
Grhl2	ENSMUST00000161405.7	chr15	+	HAVANA	37233036	p1	Grhl2_p1
Grhl2	ENSMUST00000022895.14	chr15	+	HAVANA	37233036	p1	Grhl2_p1
Grhl2	ENSMUST00000161532.1	chr15	+	HAVANA	37233058	p1	Grhl2_p1
Gtf2i	ENSMUST00000059042.13	chr5	-	HAVANA	134314760	p1	Gtf2i_p1
Gtf2i	ENSMUST00000111261.10	chr5	-	ENSEMBL	134314746	p1	Gtf2i_p1
Gtf2i	ENSMUST00000082057.9	chr5	-	ENSEMBL	134314746	p1	Gtf2i_p1
Gtf2i	ENSMUST00000173341.7	chr5	-	HAVANA	134314720	p1	Gtf2i_p1
Gtf2i	ENSMUST00000172715.7	chr5	-	HAVANA	134314682	p1	Gtf2i_p1
Gtf2i	ENSMUST00000174354.7	chr5	-	HAVANA	134314693	p1	Gtf2i_p1
Gtf2i	ENSMUST00000174155.7	chr5	-	HAVANA	134314693	p1	Gtf2i_p1
Gtf2i	ENSMUST00000174513.7	chr5	-	HAVANA	134314693	p1	Gtf2i_p1
Gtf2i	ENSMUST00000174772.7	chr5	-	HAVANA	134314693	p1	Gtf2i_p1
Gtf2i	ENSMUST00000174867.7	chr5	-	HAVANA	134314378	p1	Gtf2i_p1
Gtf2i	ENSMUST00000173504.7	chr5	-	HAVANA	134314676	p1	Gtf2i_p1
Gtf2i	ENSMUST00000173263.4	chr5	-	HAVANA	134314727	p1	Gtf2i_p1
Gtf2ird1	ENSMUST00000111244.4	chr5	-	HAVANA	134456256	p1	Gtf2ird1_p1
Gtf2ird1	ENSMUST00000171794.8	chr5	-	HAVANA	134456716	p2	Gtf2ird1_p2
Gtf2ird1	ENSMUST00000073161.11	chr5	-	HAVANA	134456688	p2	Gtf2ird1_p2
Gtf2ird1	ENSMUST00000167084.8	chr5	-	ENSEMBL	134456716	p2	Gtf2ird1_p2
Gtf2ird1	ENSMUST00000202280.3	chr5	-	HAVANA	134456576	p2	Gtf2ird1_p2
Gtf2ird1	ENSMUST00000200944.3	chr5	-	HAVANA	134456576	p2	Gtf2ird1_p2
Gtf2ird1	ENSMUST00000100654.9	chr5	-	HAVANA	134456584	p2	Gtf2ird1_p2
Gtf2ird1	ENSMUST00000111245.8	chr5	-	HAVANA	134456589	p2	Gtf2ird1_p2
Gtf2ird1	ENSMUST00000074114.11	chr5	-	HAVANA	134456576	p2	Gtf2ird1_p2
Gtf2ird1	ENSMUST00000202554.3	chr5	-	HAVANA	134456589	p2	Gtf2ird1_p2
Gtf2ird1	ENSMUST00000100652.9	chr5	-	HAVANA	134456692	p2	Gtf2ird1_p2
Gtf2ird1	ENSMUST00000100650.9	chr5	-	HAVANA	134456586	p2	Gtf2ird1_p2
Gtf2ird1	ENSMUST00000202335.3	chr5	-	HAVANA	134456277	p1	Gtf2ird1_p1
Gtf2ird1	ENSMUST00000202414.3	chr5	-	HAVANA	134456679	p2	Gtf2ird1_p2
Gtf2ird1	ENSMUST00000202763.1	chr5	-	HAVANA	134456674	p2	Gtf2ird1_p2
Gtf2ird1	ENSMUST00000201647.1	chr5	-	HAVANA	134455951	p1	Gtf2ird1_p1
Gtf3a	ENSMUST00000146511.7	chr5	+	HAVANA	146948657	p1	Gtf3a_p1
Gtf3a	ENSMUST00000133682.7	chr5	+	HAVANA	146948698	p1	Gtf3a_p1
Gtf3a	ENSMUST00000132102.1	chr5	+	HAVANA	146948705	p1	Gtf3a_p1
Gzf1	ENSMUST00000028928.7	chr2	+	HAVANA	148681023	p1	Gzf1_p1
