Gene	sgRNA	High|beta	High|z	High|p-value	High|fdr	High|wald-p-value	High|wald-fdr
Stat3_p1	12	-0.087459	-0.62679	0.1057	0.57041	0.53079	1
Patz1_p1	12	-0.043609	-0.6194	0.41491	0.8659	0.53565	1
Cebpg_p1	12	0.21151	2.3868	0.00087719	0.027586	0.016994	0.43052
Thap1_p2	12	-0.04389	-0.51373	0.41272	0.86529	0.60744	1
Hmgb1_p4	12	0.0021287	0.025074	0.92478	0.98786	0.98	1
Zfp771_p1	12	-0.049595	-0.75571	0.3568	0.82799	0.44983	1
Lrrfip2_p2	12	0.016885	0.30106	0.70592	0.94834	0.76337	1
Foxp1_p2	12	0.014228	0.2023	0.74408	0.95495	0.83968	1
Zfp930_p1	12	0.0026219	0.044312	0.91601	0.98786	0.96466	1
Ubtf_p3	12	0.046349	0.52617	0.34561	0.82711	0.59877	1
Srf_p1	12	-0.023697	-0.27033	0.66031	0.94537	0.78691	1
Klf11_p2	12	-0.017813	-0.2019	0.75461	0.95495	0.84	1
Zbtb2_p1	12	-0.023416	-0.35087	0.66491	0.94602	0.72569	1
Sox13_p1	12	-0.0095178	-0.11787	0.88575	0.98099	0.90617	1
Etv4_p2	12	0.0052116	0.071283	0.88224	0.98099	0.94317	1
Rara_p2	12	-0.011847	-0.12757	0.84912	0.97676	0.89849	1
Mta2_p1	12	0.0066647	0.099036	0.8568	0.97676	0.92111	1
Atf3_p1	12	0.0082907	0.13105	0.82961	0.97676	0.89574	1
Nfyb_p1	12	-0.014202	-0.29217	0.81272	0.97398	0.77015	1
Foxa2_p1	12	0.048935	0.62823	0.32434	0.81708	0.52985	1
Rbak_p1	12	0.012991	0.19927	0.76118	0.95495	0.84205	1
Hsf2_p1	12	-0.030744	-0.41151	0.56075	0.93945	0.6807	1
Zfp369_p1	12	-0.053287	-0.73253	0.32083	0.81708	0.46384	1
Lrrfip1_p1	12	0.03771	0.51388	0.43092	0.88143	0.60734	1
Kmt2c_p1	12	0.065285	0.8427	0.21162	0.70824	0.3994	1
E4f1_p1	12	-0.081728	-0.93981	0.12566	0.62623	0.34732	1
Bcorl1_p2	12	-0.081544	-1.1829	0.12654	0.62717	0.23685	1
Csde1_p1	12	0.19779	2.0913	0.0019737	0.05	0.0365	0.67934
Carhsp1_p1	12	0.015141	0.26333	0.72719	0.94878	0.7923	1
Cdx4_p1	12	-0.097048	-1.3633	0.079167	0.51757	0.17277	1
Tfam_p2	12	-0.12973	-1.4641	0.026535	0.26022	0.14318	1
Nr0b1_p1	12	-0.073075	-0.85924	0.17171	0.69573	0.39021	1
Pitx2_p2	12	0.020211	0.19335	0.65329	0.94537	0.84669	1
Preb_p2	12	0.045622	0.70919	0.35022	0.82711	0.4782	1
Crebzf_p2	12	0.00086982	0.0096587	0.94452	0.9895	0.99229	1
Maff_p3	12	-0.053735	-0.85377	0.31711	0.81236	0.39323	1
Zscan25_p1	12	0.021637	0.22654	0.62982	0.94537	0.82078	1
Zfp65_p1	12	-0.057264	-0.61304	0.29013	0.77341	0.53985	1
Zfp263_p2	12	-0.0088046	-0.12047	0.89737	0.98247	0.90411	1
Mxi1_p2	12	-0.012779	-0.15055	0.83487	0.97676	0.88033	1
Lyar_p1	12	-0.064773	-0.97831	0.23311	0.73058	0.32792	1
Zfp644_p2	12	0.03831	0.4758	0.42478	0.87738	0.63422	1
Wdhd1_p1	12	-0.034842	-0.35931	0.5114	0.92174	0.71936	1
Atf2_p1	12	-0.028323	-0.33961	0.59825	0.94537	0.73415	1
Six1_p1	12	0.057939	0.74722	0.26096	0.76282	0.45493	1
Zmat3_p2	12	0.049008	0.87135	0.32346	0.81708	0.38356	1
Platr25_p4	12	0.047966	0.61053	0.33289	0.82711	0.54151	1
Nfkb2_p2	12	-0.025439	-0.40416	0.63772	0.94537	0.68609	1
E2f2_p1	12	-0.020912	-0.43388	0.70592	0.94834	0.66438	1
Smad2_p1	12	0.04695	0.56052	0.34013	0.82711	0.57512	1
Pura_p1	12	-0.024184	-0.4088	0.65504	0.94537	0.68269	1
Zfp449_p1	12	0.025559	0.2981	0.57917	0.94153	0.76563	1
Hmga1_p1	12	0.13267	1.1826	0.025658	0.26022	0.23697	1
Arid2_p1	12	0.040452	0.78463	0.40285	0.85336	0.43267	1
Tead4_p1	12	0.11798	1.4968	0.042105	0.34386	0.13444	1
Hes6_p1	12	-0.038715	-0.52175	0.46667	0.89937	0.60185	1
Stat3_p2	12	0.032173	0.40858	0.49496	0.9129	0.68285	1
Zbtb43_p1	12	0.0068092	0.10718	0.85395	0.97676	0.91464	1
Nanog_p1	12	-0.026442	-0.27214	0.62303	0.94537	0.78551	1
Zfp574_p1	12	0.00041392	0.0057716	0.95241	0.9895	0.99539	1
Id2_p2	12	0.14994	1.689	0.013596	0.17222	0.091216	1
Nr3c1_p2	12	-0.04062	-0.59147	0.44539	0.89154	0.55421	1
Nkrf_p1	12	0.15383	1.7052	0.012719	0.17222	0.088158	1
Zbtb8a_p1	12	0.042097	0.65499	0.38531	0.85336	0.51248	1
Zfp553_p1	12	-0.014124	-0.19853	0.81447	0.9748	0.84263	1
Mier3_p5	12	0.031513	0.33403	0.50263	0.91497	0.73836	1
Irf1_p1	12	0.0082433	0.15379	0.8307	0.97676	0.87777	1
Lrrfip1_p2	12	-0.030242	-0.55032	0.56886	0.94143	0.5821	1
Zfp938_p1	12	0.026267	0.39086	0.57127	0.94143	0.6959	1
Thap12_p1	12	0.12241	1.2498	0.0375	0.342	0.21139	1
Foxp4_p1	12	0.071131	1.1692	0.17829	0.69573	0.24232	1
Zbtb33_p1	12	-0.019525	-0.24665	0.72719	0.94878	0.80518	1
Zfp91_p1	12	-0.019046	-0.24422	0.73465	0.9547	0.80706	1
E2f5_p1	12	0.041591	0.64602	0.38969	0.85336	0.51826	1
Cenpt_p2	12	-0.022338	-0.26185	0.68224	0.94834	0.79344	1
Klf9_p1	12	-0.013438	-0.17624	0.8239	0.97676	0.86011	1
Hesx1_p2	12	0.065914	0.9484	0.20855	0.70824	0.34293	1
Zfp334_p1	12	-0.024787	-0.36047	0.64715	0.94537	0.71849	1
Tsix_p2	12	1.0628	2.6084	0	0	0.0090956	0.28604
Nr4a1_p2	12	0.020377	0.21956	0.65066	0.94537	0.82622	1
Gata1_p1	12	-0.056945	-0.69024	0.29298	0.77341	0.49004	1
Hopx_p1	12	0.018846	0.22517	0.67412	0.94834	0.82185	1
E2f8_p2	12	-0.14648	-1.7704	0.014693	0.17867	0.076655	0.99871
Map3k15_p1	12	-0.0034764	-0.038537	0.98311	0.99116	0.96926	1
Nr3c1_p1	12	0.014749	0.16504	0.73487	0.9547	0.86891	1
Arid3a_p2	12	-0.013319	-0.17544	0.82675	0.97676	0.86073	1
Sox4_p1	12	0.052436	0.49546	0.29342	0.77341	0.62027	1
Bbx_p2	12	-0.029807	-0.47673	0.57654	0.94143	0.63355	1
Maz_p1	12	0.023231	0.34726	0.61075	0.94537	0.72839	1
Foxk2_p1	12	-0.0663	-0.96045	0.21798	0.71	0.33683	1
Arid4b_p2	12	-0.017157	-0.2072	0.76382	0.95556	0.83585	1
Baz2b_p2	12	0.023833	0.30769	0.60263	0.94537	0.75831	1
Baz2b_p1	12	0.096459	0.99652	0.083991	0.51757	0.319	1
Mbd3_p1	12	-0.16324	-2.3702	0.0098684	0.15738	0.017778	0.43821
Zfp131_p1	12	0.040826	0.29797	0.39912	0.85336	0.76573	1
Gabpb2_p1	12	0.18972	1.8237	0.0028509	0.065	0.068198	0.92831
Arid4a_p2	12	0.018362	0.19674	0.68289	0.94834	0.84403	1
Hopx_p2	12	-0.047049	-0.62576	0.38202	0.85336	0.53147	1
Id2_p1	12	-0.062545	-0.67163	0.25175	0.75279	0.50182	1
Sp1_p3	12	-0.1332	-1.7348	0.023026	0.24368	0.082773	1
Tead2_p1	12	0.0082168	0.11793	0.83114	0.97676	0.90612	1
Myc_p1	12	0.16114	2.6165	0.010307	0.15738	0.0088828	0.28604
Rlf_p1	12	0.1163	1.4421	0.044518	0.35304	0.14927	1
Zbtb6_p2	12	-0.0045367	-0.10283	0.96491	0.9895	0.9181	1
Zfp27_p1	12	0.041269	0.46092	0.39408	0.85336	0.64486	1
Lin28a_p1	12	0.044332	1.0768	0.3636	0.83879	0.28156	1
Zfp646_p2	12	-0.050952	-0.82221	0.34408	0.82711	0.41096	1
Zfp871_p2	12	-0.029127	-0.34609	0.58618	0.94537	0.72927	1
Rbck1_p1	12	0.065824	0.60931	0.20877	0.70824	0.54232	1
Nfatc4_p3	12	0.029914	0.2897	0.52434	0.92854	0.77205	1
Zfp516_p4	12	0.048855	0.62896	0.32522	0.81708	0.52938	1
Gatad1_p1	12	0.028641	0.5785	0.54145	0.93944	0.56293	1
Tet2_p2	12	-0.071257	-0.79822	0.1864	0.70824	0.42474	1
Smad5_p1	12	-0.051183	-0.61661	0.34211	0.82711	0.53749	1
Relb_p1	12	0.028239	0.27621	0.54715	0.93944	0.78239	1
Jund_p1	12	-0.034659	-0.50617	0.51382	0.92188	0.61273	1
Zmat3_p1	12	0.066412	1.1354	0.20614	0.70824	0.25619	1
Tfe3_p2	12	-0.045732	-0.57054	0.39386	0.85336	0.56831	1
Zfp493_p1	12	-0.012652	-0.20488	0.83618	0.97676	0.83766	1
Grhl3_p1	12	0.1359	2.0792	0.023246	0.24368	0.037597	0.68101
Gm45871_p1	12	-0.001018	-0.014946	0.97719	0.99116	0.98808	1
Atf4_p1	12	0.030332	0.30109	0.51754	0.92188	0.76335	1
Trp73_p1	12	-0.018095	-0.23371	0.75022	0.95495	0.81521	1
Zkscan6_p1	12	0.013866	0.21861	0.74846	0.95495	0.82695	1
Gm14403_p1	6	-0.074391	-0.65476	0.29342	0.77341	0.51262	1
Gm35315_p1	12	0.051739	0.58779	0.29912	0.77943	0.55667	1
Rxra_p1	12	0.03608	0.72241	0.45044	0.89154	0.47004	1
Rara_p1	12	-0.00015968	-0.0023347	0.96316	0.9895	0.99814	1
Brd4_p1	12	-0.14841	-2.6884	0.014254	0.17808	0.0071798	0.26192
Smarce1_p2	12	-0.13033	-1.702	0.026535	0.26022	0.08876	1
Pou3f1_p1	12	-0.03966	-0.57723	0.4568	0.89677	0.56379	1
Epas1_p1	12	-0.17551	-2.2503	0.0067982	0.12157	0.024427	0.55693
Mier3_p2	12	0.045236	0.71011	0.35285	0.82711	0.47764	1
Zfp36l2_p1	12	0.096888	1.2073	0.083333	0.51757	0.2273	1
Zfp59_p1	12	0.046313	0.62007	0.34561	0.82711	0.53521	1
Zfp760_p1	12	0.0029468	0.033851	0.9125	0.98786	0.973	1
Mynn_p2	12	0.0297	0.331	0.52829	0.93	0.74065	1
Usf2_p2	12	0.00728	0.13666	0.84671	0.97676	0.8913	1
Zfp367_p1	12	0.038514	0.54837	0.42215	0.875	0.58344	1
Smad2_p2	12	-0.011672	-0.16754	0.85219	0.97676	0.86694	1
Ripply1_p1	12	-0.064954	-0.81694	0.23158	0.72828	0.41397	1
Mynn_p1	12	0.02921	0.58838	0.53465	0.9341	0.55628	1
Gtf3a_p1	12	0.052938	0.67359	0.28969	0.77341	0.50057	1
T_p2	12	-0.066537	-0.99521	0.21667	0.70824	0.31964	1
Klf8_p1	12	0.027547	0.3575	0.5557	0.93945	0.72072	1
Rcor1_p1	12	-0.0088683	-0.092037	0.89627	0.98245	0.92667	1
Etv6_p1	12	0.017198	0.18607	0.70132	0.94834	0.85239	1
Parp12_p1	12	0.025966	0.24412	0.575	0.94143	0.80714	1
Rbpj_p2	12	-0.35358	-4.1952	0.0002193	0.0090909	2.7258e-05	0.0027621
Xbp1_p2	12	0.015665	0.23332	0.71996	0.94834	0.81551	1
Gm9785_p1	12	-0.031187	-0.38846	0.55592	0.93945	0.69767	1
Zfp37_p3	12	0.008933	0.10736	0.81754	0.97592	0.91451	1
Jdp2_p1	12	-0.0016888	-0.019531	0.98706	0.99229	0.98442	1
Adnp_p1	12	-0.38131	-3.2749	0.0002193	0.0090909	0.0010569	0.074146
Zfp692_p1	12	-0.018963	-0.35612	0.73596	0.95477	0.72175	1
Tfe3_p1	12	-0.013148	-0.16	0.82829	0.97676	0.87288	1
Zfp408_p1	12	0.0044885	0.053061	0.89167	0.98099	0.95768	1
Rxra_p2	12	0.012562	0.14701	0.76776	0.95656	0.88313	1
Bach1_p1	12	0.036077	0.66561	0.45044	0.89154	0.50566	1
Spic_p2	12	0.0030469	0.044389	0.91162	0.98786	0.96459	1
Jarid2_p3	12	-0.065515	-1.1462	0.22632	0.71834	0.25172	1
Trp53_p1	12	0.14122	2.0102	0.017982	0.20759	0.044405	0.74995
Zbtb32_p2	12	0.016388	0.17529	0.71075	0.94834	0.86085	1
5430403G16Rik_p1	12	-0.011189	-0.16099	0.85899	0.97676	0.8721	1
Zfp386_p1	12	0.025712	0.25708	0.57807	0.94143	0.79712	1
Hmgxb3_p1	12	-0.05779	-0.91399	0.28618	0.77341	0.36072	1
Zfp7_p1	12	-0.027679	-0.29507	0.60855	0.94537	0.76794	1
Tcfl5_p1	12	0.07592	1.1733	0.1568	0.68421	0.24068	1
Nr6a1_p1	12	-0.00040579	-0.0060717	0.9682	0.9895	0.99516	1
Csrnp2_p1	12	0.052548	0.4607	0.29232	0.77341	0.64501	1
Zmiz2_p1	12	-0.088286	-1.5432	0.10307	0.56667	0.12278	1
Zfp281_p1	12	0.21773	1.8851	0.00087719	0.027586	0.05941	0.86694
Stag2_p3	12	0.19514	1.945	0.0024123	0.057895	0.051769	0.81669
Nr3c1_p5	12	0.083034	1.2809	0.13224	0.63895	0.20024	1
Gm20939_p1	11	0.052833	0.85603	0.30329	0.7858	0.39198	1
Zfp977_p1	10	-0.056436	-0.76447	0.32522	0.81708	0.44459	1
Foxp1_p4	12	-0.0043439	-0.059921	0.9682	0.9895	0.95222	1
Nr6a1_p3	12	-0.028415	-0.38988	0.59737	0.94537	0.69663	1
Zfp719_p1	12	-0.022703	-0.31535	0.67785	0.94834	0.7525	1
Zfp819_p1	12	-0.0056242	-0.061724	0.94737	0.9895	0.95078	1
Foxi3_p1	12	0.065822	1.307	0.20877	0.70824	0.19121	1
Klf6_p1	12	-0.08384	-0.84764	0.11711	0.59665	0.39664	1
Tfeb_p4	12	-0.045639	-0.57275	0.39561	0.85336	0.56681	1
Nfatc4_p1	12	0.12051	1.2861	0.038816	0.34369	0.19839	1
Hnrnpk_p1	12	0.2171	2.0465	0.00087719	0.027586	0.040711	0.70054
Pias1_p2	12	0.01043	0.099909	0.79956	0.96689	0.92042	1
Srebf1_p3	12	0.048398	0.59619	0.32917	0.82022	0.55105	1
T_p1	12	0.0078501	0.14668	0.83662	0.97676	0.88338	1
Ftx_p2	12	-0.2674	-2.6178	0.0004386	0.016667	0.0088508	0.28604
Zfp617_p2	12	0.019824	0.20266	0.65965	0.94537	0.8394	1
Tgif2_p2	12	0.011747	0.15444	0.77961	0.96211	0.87726	1
Zfp747_p1	12	0.074662	0.86219	0.16272	0.69116	0.38858	1
Ybx3_p1	12	0.12381	1.5206	0.035965	0.33131	0.12835	1
Myef2_p1	12	-0.095224	-1.5321	0.083553	0.51757	0.1255	1
Zfp266_p1	12	-0.071143	-0.78879	0.1875	0.70824	0.43023	1
Maf1_p1	12	0.02854	0.31184	0.54276	0.93944	0.75516	1
Crebrf_p1	12	-0.0099128	-0.12672	0.87895	0.98099	0.89916	1
Zbtb45_p1	12	0.057423	0.7394	0.26294	0.76613	0.45966	1
Klf10_p2	12	-0.033702	-0.4277	0.52434	0.92854	0.66887	1
Brd4_p2	12	-0.010207	-0.13298	0.87368	0.98007	0.89421	1
Zfp217_p3	12	-0.07275	-0.62385	0.17412	0.69573	0.53273	1
Zfp472_p1	12	-0.039789	-0.5004	0.4557	0.89677	0.61679	1
Vezf1_p1	12	0.0023155	0.045858	0.92127	0.98786	0.96342	1
Arid1a_p2	12	0.0020837	0.020884	0.92544	0.98786	0.98334	1
Zfp236_p2	12	0.15772	1.4236	0.010965	0.16129	0.15456	1
Tsc22d1_p1	12	-0.032265	-0.41829	0.54254	0.93944	0.67574	1
Olig2_p1	12	-0.022381	-0.29717	0.68158	0.94834	0.76633	1
Jun_p1	12	0.054203	0.61206	0.28114	0.77341	0.5405	1
Aff1_p1	12	0.009368	0.12986	0.81228	0.97398	0.89668	1
Paxbp1_p1	12	0.078303	1.1781	0.15	0.67941	0.23876	1
Zfp42_p1	12	0.273	2.4473	0.0002193	0.0090909	0.014393	0.39777
Zfp874b_p1	12	0.02383	0.29941	0.60263	0.94537	0.76463	1
Zfp985_p1	8	-0.12872	-1.3304	0.063158	0.45714	0.1834	1
Gmeb2_p2	12	-0.0021867	-0.024456	0.99496	0.99605	0.98049	1
Cbfb_p1	12	-0.014232	-0.25296	0.8125	0.97398	0.8003	1
Zfp971_p1	12	-0.040317	-0.62588	0.44912	0.89154	0.5314	1
Lcor_p1	12	0.018511	0.24612	0.67982	0.94834	0.80559	1
Bclaf1_p1	12	0.092374	0.90094	0.098465	0.55776	0.36762	1
Lbr_p1	12	-0.2142	-2.7289	0.0013158	0.03871	0.0063542	0.25196
Nr2c2_p1	12	0.011981	0.19305	0.77566	0.96114	0.84692	1
E2f3_p2	12	0.1314	1.7961	0.026535	0.26022	0.072474	0.95792
Kansl1_p1	12	-0.028273	-0.3697	0.6	0.94537	0.71161	1
Zfp62_p1	12	-0.024311	-0.38746	0.65373	0.94537	0.69842	1
Zfp219_p2	12	-0.004808	-0.066665	0.96075	0.9895	0.94685	1
Klf2_p1	12	0.11442	1.3364	0.047588	0.3678	0.18143	1
Tcf3_p1	12	0.014187	0.29853	0.7443	0.95495	0.7653	1
Rxrb_p2	12	0.081098	0.84084	0.13816	0.64286	0.40044	1
Zfp512_p1	12	-0.00065156	-0.0082133	0.97259	0.98952	0.99345	1
Zfp37_p2	12	0.023283	0.30798	0.60987	0.94537	0.7581	1
Cenpt_p1	12	-0.020721	-0.22979	0.70921	0.94834	0.81825	1
Zfp267_p1	12	0.058486	0.64287	0.25702	0.75613	0.52031	1
Hmgb1_p2	12	-0.048721	-0.63492	0.36513	0.83879	0.52548	1
Zfp296_p2	12	-0.07018	-0.86186	0.19364	0.70824	0.38876	1
Creb3_p1	12	0.022154	0.24562	0.62346	0.94537	0.80598	1
Hbp1_p2	12	0.046819	0.79652	0.34232	0.82711	0.42573	1
Snapc4_p1	12	-0.097831	-1.1923	0.077193	0.51757	0.23316	1
Rcor2_p3	12	-0.060664	-0.75261	0.26535	0.76937	0.45169	1
Zfp57_p1	12	0.033387	0.39035	0.48333	0.90984	0.69628	1
Maff_p2	12	0.0063101	0.076143	0.86447	0.97676	0.93931	1
Arid3a_p1	12	0.040416	0.55723	0.40285	0.85336	0.57737	1
Gpbp1l1_p1	12	0.12819	1.3793	0.03114	0.29895	0.16782	1
Nr2c2_p2	12	-0.048764	-0.65263	0.36447	0.83879	0.514	1
Gm15446_p1	8	-0.017335	-0.14262	0.78925	0.96405	0.88659	1
Id3_p1	12	0.0055914	0.082961	0.87566	0.98099	0.93388	1
Cbfb_p2	12	0.065195	0.79315	0.21162	0.70824	0.42769	1
Zfp84_p1	12	-0.086567	-0.86217	0.10746	0.5731	0.3886	1
Zbtb41_p2	12	0.015595	0.16852	0.72061	0.94834	0.86618	1
Stat6_p2	12	0.071709	0.92333	0.1761	0.69573	0.35583	1
Hnrnpu_p2	12	-0.034513	-0.3138	0.51491	0.92188	0.75367	1
Sp2_p2	12	-0.037078	-0.40019	0.48443	0.90984	0.68902	1
Zfp37_p1	12	0.028049	0.26435	0.55022	0.93944	0.79151	1
Klf16_p1	12	0.20119	2.0967	0.0019737	0.05	0.036021	0.67934
Arid5b_p2	12	0.11839	1.0409	0.041228	0.34386	0.29792	1
Gata1_p3	12	0.0059679	0.068953	0.87061	0.97833	0.94503	1
Gabpb1_p1	12	0.15541	2.2278	0.012061	0.16923	0.025892	0.56861
Zfp322a_p1	12	0.03559	0.45305	0.45724	0.89677	0.65052	1
Zfp770_p1	12	-0.044649	-0.60624	0.40329	0.85336	0.54436	1
Zfp74_p2	12	-0.010925	-0.13375	0.86206	0.97676	0.8936	1
Zfp512b_p1	12	0.0062267	0.078649	0.86645	0.97676	0.93731	1
Pou2f1_p1	12	-0.14639	-1.7496	0.014693	0.17867	0.080179	1
Zfp184_p1	12	-0.02979	-0.4829	0.57675	0.94143	0.62917	1
Hnrnpk_p3	12	0.082061	0.89983	0.13531	0.64	0.36821	1
Pias1_p1	12	-0.18701	-2.5408	0.004386	0.093023	0.011059	0.33618
5730507C01Rik_p1	12	-0.021739	-0.34498	0.69232	0.94834	0.73011	1
Rlim_p1	12	-0.57296	-5.0612	0	0	4.1664e-07	6.5022e-05
Mixl1_p1	12	0.059369	0.8169	0.2511	0.75279	0.41399	1
Zfp36l1_p1	12	0.17568	2.2099	0.0070175	0.12308	0.027113	0.57505
Zfp622_p1	12	0.039688	0.53208	0.40855	0.85853	0.59467	1
Mier3_p3	12	0.00035341	0.0047639	0.95504	0.9895	0.9962	1
Purb_p1	12	0.036581	0.45107	0.4443	0.89154	0.65194	1
Yy1_p1	12	-0.049816	-0.59116	0.35461	0.82711	0.55441	1
Zfp981_p1	10	-0.0006188	-0.0089457	0.99057	0.99384	0.99286	1
Pitx2_p3	12	-0.027227	-0.48676	0.61316	0.94537	0.62643	1
Zfp771_p2	12	-0.092703	-1.6197	0.089474	0.53117	0.1053	1
Mta3_p1	12	0.028192	0.36096	0.54825	0.93944	0.71813	1
Sall1_p1	12	-0.020823	-0.22299	0.70702	0.94834	0.82354	1
Mta1_p1	12	0.0077171	0.12448	0.83925	0.97676	0.90094	1
Stat6_p4	12	0.033397	0.34171	0.48311	0.90984	0.73257	1
Zfp687_p1	12	0.071729	0.93466	0.1761	0.69573	0.34996	1
Ascl2_p2	12	0.14236	1.9436	0.017544	0.20513	0.051939	0.81669
Klf10_p1	12	-0.044427	-0.62787	0.40636	0.85787	0.53009	1
Nfatc4_p4	12	0.024354	0.23989	0.59539	0.94537	0.81042	1
Six1_p3	12	-0.045507	-0.53351	0.39781	0.85336	0.59368	1
Thap7_p1	12	-0.0012646	-0.024525	0.98158	0.99116	0.98043	1
Arid3b_p1	12	-0.040347	-0.51188	0.44825	0.89154	0.60873	1
Tfeb_p3	12	0.027974	0.31747	0.55088	0.93944	0.75088	1
Arid5b_p1	12	-0.072817	-0.92931	0.17368	0.69573	0.35273	1
Rarg_p3	12	-0.029062	-0.38478	0.58728	0.94537	0.7004	1
Mafk_p1	12	0.036069	0.58998	0.45066	0.89154	0.5552	1
Foxo4_p1	12	0.046766	0.506	0.34254	0.82711	0.61286	1
Zfp459_p1	12	0.012051	0.1682	0.775	0.96114	0.86643	1
Baz2b_p3	12	0.013606	0.13688	0.75219	0.95495	0.89113	1
Gatad1_p2	7	-0.051152	-0.54545	0.44934	0.89154	0.58544	1
Elf1_p1	12	0.11977	1.5582	0.039474	0.34386	0.11919	1
Ets2_p1	12	-0.0011134	-0.018774	0.97961	0.99116	0.98502	1
Tfeb_p2	12	-0.089447	-1.3853	0.098246	0.55776	0.16597	1
Hmgb3_p1	12	-0.0056531	-0.064449	0.94649	0.9895	0.94861	1
Zfp961_p1	12	0.081317	1.1322	0.13684	0.64	0.25756	1
Zfp568_p1	12	0.087712	1.0129	0.11513	0.59548	0.31111	1
Nr1h2_p2	12	-0.056987	-0.53148	0.29276	0.77341	0.59509	1
Zfp790_p1	12	0.051839	0.65283	0.29912	0.77943	0.51387	1
Stag2_p1	12	0.14021	1.8729	0.018421	0.21	0.061083	0.87043
Mxi1_p1	12	0.10908	1.7312	0.057018	0.43306	0.083414	1
Bcorl1_p1	12	0.013322	0.15886	0.75658	0.95495	0.87378	1
Sall4_p2	12	-0.021459	-0.32511	0.69978	0.94834	0.7451	1
Six4_p1	12	0.061242	1.0455	0.23882	0.73779	0.29578	1
Foxh1_p1	12	0.10702	1.1435	0.062061	0.45645	0.25285	1
Zzz3_p2	12	-0.028355	-0.32458	0.59781	0.94537	0.7455	1
Zfp65_p2	12	0.026449	0.25839	0.56886	0.94143	0.79611	1
Stat6_p3	12	0.026925	0.45719	0.56404	0.94143	0.64753	1
Ybx1_p2	12	0.06177	0.51071	0.23531	0.73493	0.60955	1
Nr2f6_p1	12	0.070521	1.0679	0.18026	0.69957	0.28555	1
Mier1_p2	12	0.013507	0.14468	0.75351	0.95495	0.88497	1
4930522L14Rik_p1	12	-0.020337	-0.34576	0.71447	0.94834	0.72952	1
Mef2b_p1	12	0.070996	1.1227	0.17851	0.69573	0.26157	1
Setdb2_p1	12	0.030972	0.29511	0.51031	0.92158	0.76791	1
Lin28b_p2	12	0.016884	0.25962	0.70592	0.94834	0.79515	1
Usf2_p3	12	-0.029852	-0.43156	0.5761	0.94143	0.66606	1
Pms1_p1	12	0.097292	1.2654	0.082018	0.51757	0.20574	1
E2f8_p1	12	-0.11642	-1.2794	0.041009	0.34386	0.20074	1
Tfap2c_p2	12	0.01294	0.20021	0.76228	0.95495	0.84132	1
Zfp367_p2	12	-0.017022	-0.17851	0.76557	0.95644	0.85832	1
Mllt10_p2	12	-0.089375	-1.4151	0.098465	0.55776	0.15704	1
Spen_p1	12	-0.0005318	-0.0063417	0.97105	0.9895	0.99494	1
Pou5f1_p1	12	-0.92106	-5.6689	0	0	1.4369e-08	6.5523e-06
Zbtb21_p1	12	-0.063494	-0.82259	0.24189	0.73779	0.41074	1
Plagl1_p1	12	0.019985	0.24806	0.65592	0.94537	0.80409	1
Nfx1_p1	12	0.0018972	0.029882	0.92807	0.98786	0.97616	1
Hmgb1_p5	12	-0.09844	-1.2625	0.076316	0.51757	0.20676	1
Gm20422_p1	12	-0.088257	-1.606	0.10329	0.56667	0.10828	1
Zfx_p2	12	0.088058	1.0506	0.11425	0.59548	0.29345	1
Creb3_p2	12	0.023846	0.3196	0.60263	0.94537	0.74927	1
Zfp87_p1	12	0.041453	0.86555	0.39123	0.85336	0.38674	1
Zic5_p1	12	-0.071293	-1.0515	0.18596	0.70824	0.29301	1
Spic_p1	12	0.014504	0.16445	0.73969	0.95495	0.86938	1
Rarg_p2	12	-0.021004	-0.30054	0.7057	0.94834	0.76376	1
Zfp296_p1	12	-0.08998	-1.651	0.097149	0.55776	0.098731	1
Zfp26_p1	12	0.021428	0.23764	0.63443	0.94537	0.81216	1
Nfxl1_p1	12	0.013097	0.19273	0.75987	0.95495	0.84717	1
Zfp110_p1	12	-0.063864	-0.81918	0.24035	0.73779	0.41269	1
Srebf1_p1	12	0.048607	0.57217	0.32763	0.81863	0.56721	1
Cpeb1_p4	12	0.067312	0.81506	0.19825	0.70824	0.41504	1
Cpeb1_p1	12	-0.001608	-0.025637	0.98596	0.99229	0.97955	1
Zik1_p1	12	0.09805	0.81242	0.080263	0.51757	0.41655	1
Elf1_p2	12	0.068913	0.68957	0.1886	0.70824	0.49047	1
Repin1_p1	12	-0.012017	-0.16584	0.84649	0.97676	0.86828	1
Msl1_p1	12	0.053163	0.82502	0.28925	0.77341	0.40936	1
Mitf_p4	12	-0.019526	-0.21473	0.72719	0.94878	0.82998	1
Hmgb3_p3	12	0.078824	0.91669	0.14803	0.675	0.3593	1
Rbpj_p4	12	-0.19363	-1.8079	0.0026316	0.061538	0.07062	0.94714
Lin28b_p3	12	0.059513	0.9084	0.24978	0.75279	0.36367	1
Xert_p1	12	-0.17763	-2.1419	0.0063596	0.11837	0.032199	0.6248
Aire_p2	12	0.06549	0.77625	0.21075	0.70824	0.4376	1
Zfp13_p1	12	0.064613	0.62243	0.21557	0.70824	0.53366	1
Jarid2_p1	12	0.0045244	0.055251	0.89145	0.98099	0.95594	1
Zfp975_p1	12	0.0051476	0.086825	0.88311	0.98099	0.93081	1
Zfp644_p1	12	-0.012595	-0.18694	0.83794	0.97676	0.85171	1
